Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
FLUSHINGARTS,CIG - Flushing Council on Culture and the Arts / Flushing Town Hall,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.flushingtownhall.org/board,MC,,,Multi-member Commission,,No,No,This institution is a CIG. Have not been able to find its certificate of incorporation.,,,,,
FMCPA,Flushing Meadows Corona Park Alliance,Board/Commission,,,,,,DM Operations,Meera Joshi,"Organization dedicated to preserving, restoring, and maintaining the natural, historic, and cultural integrity of Flushing Meadows-Corona Park.",,Flushing Meadows-Corona Park Alliance By-laws,,,MC,,Certificate of Incorporation of Alliance for Flushing Meadows Corona Park Corporation,Multi-member Commission,,No,No,"Certificate of Incorporation
https://static1.squarespace.com/static/57867be8c534a55abe83b3f5/t/5787b8699de4bb14b3938a8a/1468512362221/AFMCP+Certificate+of+Incorporation.pdf",,FINAL Bylaws Alliance for Flushing Meadows Park 9-2-15 - (.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/l_CakRfINSBwBYxFjxaHRQ/a11lJxUTzHf5CKwmEde6NJY08---7RK5ppLZEHmEt87Qvw_C_ETnH80NApr_FWCFcsOFQLz7gmtFg8IILHc7nr7LsfkZg1XYlCVY4EQ_BGh2CiWj2fr-Nw8eA266pC0H__7IJUTIx1qYCLofZfXRMpyglGMhC8ajdk7fludE37uYb5I0vU_wS41_T0PGd7wj/3SoD_b9v8-UnsG4aRC7-sJcma_Hei08mWQlNsB98DZY),,,
FORESTPARK,Forest Park Trust,Board/Commission,,,,,,DM Operations,Meera Joshi,"The Forest Park Trust is a non-profit organization that supports the Forest and Highland Park Administrator’s Office in its effort to develop, maintain and secure funding in order to advance the future of Forest Park as a major recreational, environmental, educational and cultural facility for the residents of the surrounding areas and all of New York City. Through the Trust and Administration’s joint efforts, capital dollars are secured to renovate park facilities and landscaped areas.",,New York City Not-for-Profit Corporation Law,,https://forestparktrust.org/about-us,MC,,,Multi-member Commission,,No,No,This institution is a nonprofit founded in 1998. Have not been able to find its certificate of incorporation. ,,Forest and Highland Park By Laws - Nov 2014.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/TTObWGoZD6oJG9wf2VKeDg/o_HOSW0Ixz8xWxw3zqFZ1IVpIvqgj3yt6HxlFyxGlpei3qF-EW7gfvq5oNZiJmQbnqu7Zp0jACZeil2CadYX5cicbxjGvJVlRmTFi0GvFqQuzOYrtZMLR8dYPuNEOzs7_pz5ZLfJBh4BbWDUBcKigKjCYaz9Xv0OpPIJe552UcKJR5S34lPd1tEmsYF6i-g4/S_fEvMM3sEEIwHAvDkqC49bYhRjLibjA9BzmSHTBU-k),,,
FRTF,Fair Recovery Task Force,Board/Commission,,,,,,First Deputy Mayor,Maria Torres-Springer,"Civic leaders from diverse backgrounds will help the City formulate a broader post-crisis recovery effort that builds a stronger, safer, and fairer economy and society. ",,"MO Press Release April 26, 2020",,,,,,Multi-member Commission,This taskforce consists of 8 members.,Yes,No,"Have not been able to find the EO that established the fair recovery taskforce. 
Press release: https://www1.nyc.gov/office-of-the-mayor/news/290-20/mayor-de-blasio-fair-recovery-taskforce",,,,,
FSEAB,Food Service Establishment Advisory Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,The Food Service Establishment Advisory Board advises the Commissioner of the Department of Health and Mental Hygiene on matters related to the food service establishment sanitary inspection program and its effects.,,NYC Administrative Code Section 17-153,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-29664,,MC,,"Ad Code Title 17, Chapter 15,  § 17-1503",Multi-member Commission,"The board consists of twenty members, half of whom are appointed by the mayor. The board advises the commissioner of DOH",No,Yes,,,,,,
FWTF,Future Workers Task Force,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The task force will recommend citywide goals for talent and workforce development, articulate best practices and establish a framework for evaluating public investments, and recommend actions to drive better employment outcomes for NYC residents.",,"Executive Order No 22, August 15, 2022",,,MC,,,,"The FWTF operates under the Mayor’s Office of Talent and Workforce Development, also created by Executive Order 22.",,,"The FWTF operates under the Mayor’s Office of Talent and Workforce Development, also created by Executive Order 22.",,,,,
GEAC,Green Economy Advisory Council,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The City will work with our private, public, and nonprofit partners to meet the demands of the climate crisis, protect New Yorkers, and grow the green economy. We will work to build an equitable green economy, ensuring New Yorkers can get adequate training to enter high[1]growth sectors and access family-sustaining wages. We will implement this action plan alongside a newly formed Green Economy Advisory Council composed of leading community, business, and nonprofit stakeholders. The Council stakeholders are critical players in NYC’s green economy and around the globe, and are making flagship commitments of their own to address the climate crisis and capture economic opportunity.",,NYCEDC-Green-Economy-Action-Plan-03-22-2024.pdf (p. 100),,https://edc.nyc/sites/default/files/2024-03/NYCEDC-Green-Economy-Action-Plan-03-22-2024.pdf,MC,,,"""Single Agency Head (commissioner, exec director, administrator)""",,No,Yes,,,,,,
GMC,Gracie Mansion Conservancy,Board/Commission,,,,,,Mayor's Chief of Staff,Camille Joseph-Varlack,"The Gracie Mansion Conservancy is a private not-for-profit corporation established in 1981 to preserve, maintain and enhance Gracie Mansion – one of the oldest surviving wood structures in Manhattan and a member of the Historic House Trust. The Conservancy’s mission is to raise funds to restore the historic structure and acquire furnishings that illustrate the rich history of New York; improve the surrounding landscape and gardens; and provide educational services, including publications and tours.

The Board of Directors shall direct the management of the operations, property, affairs, and concerns of
the Corporation consistent with the provisions of these By-laws and the Certificate of Incorporation.
",,"Gracie Mansion Bylaws (May 7, 2012)",,,,,"Gracie Mansion Bylaws (May 7, 2012)",,,No,No,,,GRACIE MANSION BYLAWS AS OF MAY 7 2012 BOARD MEETING.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/L3derTplQY7d6kt1kYll4w/Y_I5cNmVuAmN6-FYjqdmtxhOGcpHX0oyv_j_Ok3RZtn9MwhZfyE9rY77Z7iwi5mzmKQ1olI_BW2astkX3Lsx88fSxnESmD1tkRFSYqE6guMukvo57OCSY_8NMS9RqXNFyoTaQgN62hyciuFGInd2KzgIQibP2LJ4dJ2lrIH81X7Wq7gxVm0606ecyr2HjDHi/8ioGHDFkwv9Y7Pi2TE9HEuSEHnlPIwy7YFl8q5c6RkE),,,
GMCAC,Gracie Mansion Conversancy Advisory Committee,Board/Commission,,,,,,Mayor's Chief of Staff,Camille Joseph-Varlack,"Non-profit arm of the Gracie Mansion Conservancy, tasked with identifying partners to help uphold, restore, and preserve the historical landmark Gracie Mansion.  This is a sub-committee of the Gracie Mansion Conservancy.",,,,,,,,,,Yes,No,,,,2024,,
GREAB,Gender and Racial Equity Advisory Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"An advisory board to study gender and racial equity in healthcare and inequities related to gender and race at hospitals in New York city, and to analyze factors and social determinants leading to such inequities.",,NYC Admin Code Section 17-199.15,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-131912,,,,"Ad Code Title 17, Chapter 1 § 17-199.15",Multi-member Commission,,Yes,Yes,,Int_ No 2064-A.docx (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/ao76XrA-jTPFLPbdeksEzg/23JNsC5BdVFtcmxZpxWwYREmSBQck0qmZz2iQHO3K7EwWoRkH2PYQWnv7suDY0f2CQzGS-kOrg2S4SzYMY_1ETHobp_Ct6203Mg8RGrDPEdDg4eCaEZ7deyg1vvWg6-VFMTj52DqtRV4oycfDAIaNQ/dRKPld7lGB-7pXW7UMZjvd83JhDGBimrH_6Ir-HGr34),Local Law 30.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/bp0byir7bIL_cDY831JIVQ/uTNMpc6-iE0YFSf1zpxSRpKNFlXJ_tqqmju1azXvYTwAoFlgXKXLLtZZm7WgGbqgU9cppjLirzlj3un5OzJB8fNclegTJgDi2GitKKaruDM1y3-g5p1MRYH8rjgvYU-vHXjaQvvRqVVDHjrWUBkizA/sIwNs-Q7Lpd1ketoz6D5-YF7RIlduvFfVwqI34Sbfm0),,,
GREENBELT,Greenbelt Conservancy,Board/Commission,,,,,,DM Operations,Meera Joshi,"The Greenbelt Conservancy is a not-for-profit organization founded in 1989 dedicated to promoting conservation of the Greenbelt by working in partnership with NYC Parks to oversee the operation, administration and public use of the 2,800-acres of public and private Greenbelt parkland, the largest of NYC’s 5 flagship parks. Specifically, it promotes, sustains and enhances the land through education, recreation, conservation and research efforts. In addition, it is also responsible for the prudent management of its financial resources that benefit the Greenbelt.",,New York Not-for-Profit Corporation Law,,https://sigreenbelt.org/about-us/,MC,,,Multi-member Commission,Greenbelt Conservancy has a  executive director and is also run by a Board of Directors and a professional staff.,Yes,No,This institution was founded in 1989 and is a nonprofit. Have not been able to find its certificate of incorporation. ,,Greenbelt Conservancy Bylaws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/YKUGuonFgJIlrcQ3XEHQyg/uK1E1ZmFMiO1SCJDo-VLowUIyxoLhSY9lrEqwC_hpeYrFzl5EJqbFo_Von5s59fGnTAIZa3k6WyKXvKOnXCgRChXfVzNpYKZv16GeZsP3Hdu1_7__TG58uHMy3iOiKclFq1FDnZyPwETnQgD8eHWAQB0g7xk3wKOhn1f6mXRZpU/ijF3o2hcBhvRSbYB5P3n_viu7LPzpU5XpUVnFL1OX8s),,,
GROWNYC,GrowNYC (previously Council on the Environment),Board/Commission,,,,,,DM Operations,Meera Joshi,"GrowNYC (previously The Council on the Environment of New York City), is a hands-on non-profit which improves New York City's quality of life through environmental programs that transform communities and empower all New Yorkers to secure a clean and healthy environment for future generations. Members serving on the council also serve on GrowNYC whose Greenmarkets program organizes and manages farmers markets throughout the city.  ",,"Executive Order No. 13 – May 9, 1978, Bylaws - Council on the Environment, Inc.",,https://www.grownyc.org/about,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,No,No,The Council on the Environment of New York City was the original name for what is now known as GrowNYC. This can be seen in the about page of GrowNYC: https://www.grownyc.org/about ,Exec Order 1978.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/yElGWprG_t06vMrQf-NyPw/FZlql2QtoXE2pdqgHYQmxHd2YMJZ_tPZ0FWaGcfYFw5jeBwM7RDgYri1GGx3S3AKH-u8HyJRtGccPrw1ersxsp8WZ8nAuVB6m_2098WI4sYd07aGeeW3U5qjqHix-QUFB2H9MjkeFH9cPw4cDb6Utw/N-Roj5kgX15AEYLK15VdzwmNBifHraD16yxnUWp0LpY),"""2019 BY-LAWS OF COUNCIL ON THE ENVIRONMENT, INC_.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/S31dvJ4wTrRwoeYe9SavOg/3G8VEzdZyzUGp1iOhCBBH2jp4zsiMsD5QAlhPNPkCDcVa6elpkWW5_QvAM9g2XghMGPn36ftUW8UwapnxLQmEebhYcrwvHnX9RWYVPcZN_aIKlqKij7zTFu3qOi2l8pIOWVt3U2DPseM2er3WUEBIykrB80G8KYwDKzacoGkAX2Ci5v0uw2ffCdTNSMxYWVj/pM0gAxaSZRoDnWaH1QTBaVn3oee0Qmxz4yGzpACRMlM)""",,,
GSBAB,Get Stuff Built Advisory Board,Board/Commission,,,,,,First Deputy Mayor,Maria Torres-Springer,Get Stuff Built Advisory Board Members provide their expertise in the implementation of the Get Stuff Built initiative.,,"December 8, 2022 Mayoral Press Release",,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.nyc.gov/assets/home/downloads/pdf/press-releases/2022/GetStuffBuilt.pdf,MC,,,,,No,Yes,"Building and Land Use Approval Streamlining Taskforce (BLAST), Co-Chaired by Deputy Mayor for Economic, and Workforce Development Maria Torres-Springer, Chief Housing Officer Jessica Katz, and Chief Efficiency Officer Melanie La Rocca, engaged over 50 stakeholder groups, including professionals that utilize these development processes, organizations that represent community interests, the customers of the City’s agency services and the biggest critics of these processes most familiar with the frustrations and inefficiencies involved.  BLAST worked in conjunction with Get Stuff Built Advisory Board Members to provide their expertise in the implementation of the Get Stuff Built initiative, instituted by the Mayor.",,,,,
HANDSCHU,Handschu Committee,Board/Commission,,,,,,Chief Counsel to the Mayor,Allison Stoddart,"The Handschu Guidelines are set of rules governing investigations of terrorism and other potentially unlawful political activity. On January 7th, 2016, it was announced that the guidelines will be changed to include an Independent Civilian Representative.",,"January 7, 2016 NYPD Press Release",,,MC,,"Proposed Modifications to the Handschu Guidelines, Section 6",Multi-member Commission,,No,No,"Proposed Modifications to the Handschu Guidelines
https://www.nyclu.org/sites/default/files/releases/Handschu_Guidelines_FINAL_PROPOSED_MODIFICATIONS.pdf ",,,,,
HASA,HIV/AIDS Services Advisory Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"HIV/AIDS services are administered by the HIV/AIDS Services Administration’s (HASA) Board, part of the HRA’s Office of Special Services. HASA expedites access to essential benefits and social services needed by persons living with AIDS or clinical symptomatic HIV illness and their families. The Board’s role is advisory and does not make policy recommendations regarding the distribution of city funds, grants or contracts. The Board is charged with formulating and recommending to the HRA Commissioner policies and procedures for overseeing and monitoring the delivery of services to persons with clinical/symptomatic HIV illness or AIDS which may include quality assurance measurements. The Board shall submit such recommended policy or procedure to the Mayor and the Council upon submission to the Commissioner. ",,NYC Administrative Code – § 21-128(k),http://legislation.nyc/id/2473905,https://www1.nyc.gov/site/hra/help/hiv-aids-services.page?msclkid=bb6d4474ac6411eca62ebbd4bdbcdbdc ,MC,,Amendment of LL 49 of 1997,"""Single Agency Head (commissioner, exec director, administrator)""",This board reports recommended policy or procedure to the Mayor and the Council upon submission to the Commissioner.,Yes,Yes,Press Release: https://www1.nyc.gov/office-of-the-mayor/news/501-16/mayor-de-blasio-appoints-six-members-the-hasa-board?msclkid=1a513b76b5d511ecb0ec81cd0e8ff044 ,,,,,
HHCBOARD,Health and Hospitals Corporation Board of Directors,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,HHC adopts and monitors policies for the delivery of healthcare services for hospitals within its jurisdiction. ,,"NYS Unconsolidated Laws (Public Health), Chapter 1016/69 Section 4A",https://babel.hathitrust.org/cgi/pt?id=uc1.b4378130&view=1up&seq=798&skin=2021&q1=chapter%201016,https://www.nychealthandhospitals.org/about-nyc-health-hospitals/,Nom,,"Laws of New York 1969, Chapter 1016, Section 4","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,"Health and Hospitals Board of Directors EO_12.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/KjFK15VQN4MjVToFpxCEtw/uYedNrZqIUAIxCrIxeLW7S0TfcK9MTzMm_CRy_3jO50ZC-p3rXuoOFACeMuqZxMVveuGKKCFFSzAtiSdYfMM-mXgygrLF6DSTvGHlNK1PN546uWmwVNQJGOTGtyaz0cAgvsplAPTWxctQS7dHMmFAZkktUs_uGwdB0Rw-oKOdaLa0HJ-sAApukiDuKvo0nWd/6ov3fyZsT333ytZ8rvaG_0f1udjpiFQaIE4_whb_4Z0),Health and Hospitals Board of Directors Chair EO 38 Jose Pagan.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/CbBbNbF7N2b1Vl3L4BmN2Q/RCfTSD6bx2nbbq8gZhdHArVJR9KHq0d1EAjVed2G6nWdYSfOmD_hpRgns9t240SPuPi-vYrNl6Oq5u9L9DH2FuC7hsPaVbkRDu_X-_gH4P0orZH-uDSe9pwjoObYyizbpangJlBNaq-Hugmu-tZ5kZB2tuYe1NTtGUsBX9G_n5rs8TTzN37CjQJrU4tyRZZsKY_17UUxqriy0jyunzJ6Uw/tcLxCmvNZrfIdZn4oNQ5iMiOxXACG-4jYj7iN_Usw6U)",By-Laws as of Dec 17 2015.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/OxVeo5_ltJL2dUNy1tb1Jw/-2d1IyzUoG7yGvZH_9Qc8kQql4192Cw6ziVMZRkuuFvujXZ9ib9wwgHcnKM1PX-u-ygTOh8_HMgr60kB-tefsL0rHI_ECVOAF4wkQsKzjYRtyMDQuySdRIYBeyxX1DROnpY5PS7u1EMZaZvS2qXN4XG-e5EPezWypkc_pxoBr70/H8d1z4Z4_vkUxTrLQ-w3BpptqRoIBi9qNVGDDKNO61s),,,
HHCPRB,Health and Hospitals Corporation Personnel Review Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"Conducts any special reviews, studies, investigations, or analyses of the administration of personnel in the Health & Hospitals Corporation.",,"New York State Unconsolidated Laws, Public Health – Chapter 214-A, § 9 NYC Health and Hospitals Corporation – By-Laws, Article X",https://babel.hathitrust.org/cgi/pt?id=uc1.b4378130&view=1up&seq=798&skin=2021&q1=chapter%201016,https://www.nychealthandhospitals.org/about-nyc-health-hospitals/,MC,,"Laws of New York 1969, Chapter 1016, Section 9",Multi-member Commission,This board consists of three members who are appointed by the mayor.,Yes,No,,,hhc-bylaws-2015.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/wWckYmlIT8PHgiLSMYFZDw/L4Z585mpWjmLGRWg_rNCIDXVnftCygZ94iGuJj7VN4SkSXWqopqBOx1oaNZWLgQwM4EkN_w3C26QVvwrpV1pZF44FkI5kfxZ2HFVJU5SyFiEM1r509TGpUhEyq2oy9pi06ZLbX6iBcOr8PCU6gZXAg/ijedarjSzsOaAM0nv6rRTnKOk73VjzNL2GgecWgsf3k),,,
HIVPC,HIV Planning Council,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"The Council is responsible for developing spending priorities and allocating Ryan White CARE Act Part A funds based on the needs of the ever-changing HIV/AIDS epidemic.  The Council is a coalition of persons living with HIV/AIDS, care givers, governmental representatives, and community members.  ",,Executive Order 162,https://www1.nyc.gov/assets/home/downloads/pdf/executive-orders/2012/eo_162.pdf,https://nyhiv.org/,MC,,"EO 162 2012, Section 1",Multi-member Commission,"This council consists of  not 
less than 35 and not more than 50 members. ",Yes,No,,eo_162.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/NavuoSJ-3uumBmdqBb-8vA/KjttLPG-7endgDvYIhOy1cEgPmpy3saoebV4U1WDietMX2DDj6Vfu2GGapVMTH_oSc9F7g4jq20dV8HvucSxByH7NEH1Mm5CWGcpcqOAJlPZrxRpKUthcLz1IFom7ZpOTa953A2TjTM2pwqt8ZbIAg/UQFtnWRd6A9ceMxZJVq0O-r6TUGSACIgPNJXU9TgcAY),"Planning Council Bylaws (Approved by PC 6-24-14) (2).pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/cNAeHQozr2xnOxTCcLmkTA/_lkAJFcFo85XO-AzxpVMyR704BAtwi-qLlCPppuG687bcwycEZvUT1rs8Dfanlv3UnuCcxyEGfIsHYk6JeBcdyv243DxUiF09Y_sbOQJalJbTvFV4HWMPyNdJo0K3liSqHkxambCcyOhS02ENK2z5g1qbbhUXNS8zVn9N9ZamSG8tOgQYrY_RfqYCxcsE2kq/PMs0fr73P0QFOhqwT4oR4iIh0qhKC9OfDidtnRg5nL8),Planning Council Bylaws (Ammended 12-21-17).pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/5I4KDzyXeO5I2LKIvDKPfQ/E0LN4sFriKyaKF2OIeBTEzXf7fQ3WZJ77t8_gKAShmxjDO0xmTKKerbH-psu89sisNnoMNEt0qVTWLl9lz0TUkJjvEMoWig2ocVBuGHHzkboJKy9jwJBFmTXifGGdhiqWEyaCTYM3GMB9yd13GldlycJh9OI5hKfbMSxYwqBW1Y4IYEftDgEixDRKZi-8ayp/Hi0-uj9aPQbN7xHzcHITu6Tv-0fWl_HlfJ8hio0Q9X0)",,,
HRPT,Hudson River Park Trust,Board/Commission,,,,,,DM Operations,Meera Joshi,"The Trust is a public benefit corporation with authority over the planning, design, construction, operation and maintenance of the 550 acre Hudson River Park on the west side of Manhattan.",,Hudson River Park Act & HRPT By-Laws,https://hudsonriverpark.org/app/uploads/2020/03/HRP-Act.pdf,https://hudsonriverpark.org/about-us/hudson-river-park-trust/,MC,,Hudson River Park Act,Multi-member Commission,The board consists of 13 members. ,No,No,,HRP-Act.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/guEaiSuiGSSfsrqYKSkfzQ/JJtW5dPn_myMqOouWTzW7u36H3hygBJ_u7abdKj6fkL5vgnCI3dJCPOb1nEwi3gG_NWB7rCrzbF5OIrxzOXjL22HduqrFgqqYYfgMmnPKDcLi6HCi73Hh5jzxy4t8QqhSJG6JepRwt2hieTYeDhoUw/gweieLKPLj_yeV_wufUpn9T13uouR5TgeEK8kupuTT0),HRPT_By-Laws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/mGaUeNysG-xtvNfMEXBimA/m3sYQdwJwbR8gMB8FLyA4AEL4DgD7bXb1gcJQI9L9MQ3n5D7_4dZ0wu-GxDGx25FvzchWeggmcVqDieLXonzBJybJz7hO21ukrimJv9dGw2X2MiyY5lhVP9k9lzKdTHHiTzW33Nm9S4yR9PU5GSlPw/kdTDGPCj1JAw05QhhP-CbLA-3KyyM_YqQswSTxlcOR4),,,
HRVGCC,Hudson River Valley Greenway Communities Council,Board/Commission,,,,,,DM Operations,Meera Joshi,"Conducts scientific, environmental, economic, tourism, and cultural studies within the valley that are germane to the greenway criteria.",,The Hudson River Valley Greenway Act of 1991,https://hudsongreenway.ny.gov/system/files/documents/2018/05/greenway-legislation-2017-08.pdf,https://hudsongreenway.ny.gov/,MC,,Hudson River Valley Greenway Act of 1991,Multi-member Commission,,No,Yes,,,The Hudson River Valley Greenway Act of 1991 (As of May 2018).pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/UEhveY3KHtJ-Sr80B7p-GQ/MbX_n7wKEUZoRjIlj2WgpSE_oBKJmQ7E_r8V5yYbfdhgV38kEgIgO3jXzZbRrSc8XkOl2JvKMR5_mOxuUhh-YJHA0jfkyLEiTJ4ixQDdNMMm73_7FjEBXJu5twzlpXfItL-fYTH6hvFIyk99kUgctRcSzHMiqntOte13LPssxAp7CYM2G8AVYw2I4KUNM5YE/rtQ-mf6GqI8Zqha5vUKTUZZf8GSQP7NNcrKtCZCltj0),,,
HYIC,Hudson Yards Infrastructure Corporation,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The Corporation's mission is to promote economic development and growth on the west side of mid-town Manhattan and conduct its activities in a cost-effective and efficient manner. The Corporation works diligently and cooperatively with the Hudson Yards Development Corporation, the Metropolitan Transportation Authority, and the City towards completion of the Project.",,"Certificate of Incorporation signed on July 23rd, 2014 (created under Section  1411 of Not-For-Profit Corporation Law of the State of New York.)   ",,,,,,,,,,,,"HYIC By-Laws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/pSf5mqzlELqbwsF-lnN5tA/_Aj6ENO_kGkJFSVeMAAvcy21GWzMpqRgiqYmtbcmxjpSyxujvkksAGUbIEai-LCn6JjKtfVyHHyQKN64bC86NkX6cxPt9WWFJxg6mBOEk8vrL_FrnHOTh9KID6xywxTeMKahk3057i9IuTXYmjlitw/z5BOMIKiCnkXz5kyL_eZEtbQLDl5ASx6-kmIN--5G7Q),HYIC Certificate of Incorporation.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/LdaSkbh0U4Ot1NbitYAREQ/rovVmB7MYr8iqlFqqy3_dDbvdPPQv2KSO9cv-pKB2VOU_yckCdVAG5MmBxLa0f-vDzi1N681CFmwYyEaXUa0E4TJKH1zWsB5wZY7f_EkavRjIfF-u1Lc-NOQ-UINnROK02ZHOK2PUtP8uGmlwgZQRqXWOWnHUSEJkKUoH9Js5GE/7iPXz5GZUN2ksP_CiONJ147y7UwS6FhcrjVyKr1QLvo)",,,
ICAP,Temporary Commercial Incentive Area Boundary Commission (ICAP),Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The temporary commercial incentive area boundary commission shall meet in 2009 or 2015 and at least once every five years thereafter to determine the boundaries of special commercial abatement areas which it is authorized, but not required, to designate.",,Bill No. A7936,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-8456,,MC,,"Ad Code Title 11, § 11-258 Chapter 2, Subchapter 2 ",Multi-member Commission,,No,No,,,,,,
IDA,Industrial Development Agency,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"Encourages economic development throughout the five boroughs and assists in the retention of existing jobs as well as creation and attraction of new ones.  NYCIDA programs are discretionary and provide companies with access to triple tax-exempt bond financing and/or tax benefits to acquire or create capital assets, such as purchasing real estate, constructing or renovating facilities, and acquiring new equipment.",,EDC/IDA By-Laws,https://newyork.public.law/laws/n.y._general_municipal_law_section_856,https://edc.nyc/nycida,MC,,"New York General Municipal Law, Section 856",Multi-member Commission,NYCIDA is governed by a Board of Directors.,No,No,By Laws: https://edc.nyc/sites/default/files/2020-06/NYCIDA-By-Laws-Updated-6-12-2020.pdf ,,"NYCIDA-By-Laws-Updated-6-12-2020.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/oAy3ED92k1TBxGAN86D2_Q/6HwbPglphKBI-S6RPTg4kARnamBQJjjM4HmGt2kuWqpbMG9iNXff2Q9ugwQGTzq4VFX_7Wmsh1tlZdyUTDjmnOagTYpKzT20Pdxk5W33HanXepfOpeS8BwExJid7CLRc1774oLgvu2lCaPcXfz1krdK45vJnbBJT5Jbdie5L6MM/oL_vrzGeQSefpoPv1gXuF_VZFrzhBZ6sHWF8UsQPm0Q),IDA By-Laws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/Ep69lWVBQ_9BlY5L1-LJjg/YGZCnzWwW7Ne9Ichn09E1AK_o0AqK2rsoZPJ48qnKgZzuD6Oq7oH3sV-0335wsSazelVfI5XGj7MokFmnCrjTmXaQVv0CQB3Hr03UwDw7isAxTN2BBOEymdB2I7m1T_CFNM9svw1tCImhsiWzpa90Q/u1Fb4yZ_Ean1dVy6lRt7OiJ82-DNReIXNcakJIWQALE),NYC IDA Board Structure.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/LsH9HhLhzehBuS26gQxABQ/N-mBuPVLIQct101qMSNwfbtPYPFpTaHT8IPyT1i6T-7zq1Ql9_Kci3Wf34Is4tzGr-K21pUpIYmdpDL6NWQ58bXo5OKX9G3wZ6GfRzeV4DXFGxXmflFTcPSi-Sm0UzW81gyHQARwIGY5m9b4H0jCDO60LPLp-7bWKyhvNp3XtUI/F8CgfOOdN6D-vBsUHwjIiruBnhS1NlQ32ZUodmZBM3k)",,,
IRFB,In Rem Foreclosure Board,Board/Commission,,checked,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,The In Rem Foreclosure Board has the powerto authorize the release of the city's interest in property acquired by in rem tax foreclosure in accordance with sections 11-412.1 and 11-424 of the taxation and finance  code based upon a determination that such release would be in the best interests of the city.,,,,,,,,,,,,,,,,,
