Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID,Agency Name,Entity type,source,HeadOfOrganizationName,HeadOfOrganizationTitle,PrincipalOfficerContactURL,merged_from,data_source
Mayor's Office of Ethnic and Community Media,"Ethnic and Community Media, Mayor's Office of",Mayor's Office of Ethnic and Community Media,,,"Ethnic and Community Media, Mayor's Office of (MOECM)",Mayor’s Office of Ethnic and Community Media (MOECM),"Ethnic and Community Media, Mayor’s Office of (MOECM)","Ethnic and Community Media, Mayor’s Office of (MOECM)",Mayor's Office of Ethnic and Community Media (MOECM),Mayor’s Office of Ethnic & Community Media,Office of Ethnic and Community Media,Active,Mayoral Office,"The Mayor’s Office of Ethnic and Community Media facilitates connections between Ethnic and Community Media outlets, and City agencies, and Mayoral offices; advises the Mayor on communicating information to the public; oversees the Local Law 83 ECM advertising spending requirement; manages the citywide marketing directory, and publishes an annual report on advertising spending by Mayoral Agencies and for the Mayor and the Speaker.",https://www1.nyc.gov/site/ethnicmedia/index.page,Mayor's Office,Deputy Mayor for Communications,New York City Charter,"Chapter 77, Section 3300",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5897,"There shall be an office of ethnic and community media. Such office may, but need not, be established in the executive office of the mayor and may be established as a separate office, within any other office of the mayor or within any department, the head of which is appointed by the mayor. Such office shall be headed by an executive director of ethnic and community media who shall be appointed by the mayor or, if the office is established within a department, designated by the head of such department.",,,MOECM,,2.0,José Bayona,Executive Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Ethnic+and+Community+Media+%28MOECM%29,,2021.0,,mayors-office-of-ethnic-and-community-media,2024-07-29,,,Mayor's Office of Ethnic and Community Media (MOECM),"Ethnic and Community Media, Mayor's Office of (MOECM)",José,Bayona,office of the mayor of ethnic and community media,OPS_000040,Mayor’s Office of Ethnic & Community Media,Mayoral unit/office,ops,Jose Bayona,Executive Director (Recently Resigned in May '24),https://www.nyc.gov/site/ethnicmedia/contact/contact.page,"[""OPS_000040"", ""REC_000070""]",ops
Mayor's Office of Food Policy,"Food Policy, Office of",,,,"Food Policy, Mayor's Office of",,,,,Mayor's Office of Food Policy,,Active,Mayoral Office,,https://www.nyc.gov/site/foodpolicy/index.page,Mayor's Office,Deputy Mayor for Strategic Initiatives,New York City Charter,"Chapter 1, Section 20-i",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5512,The mayor shall establish an office of food policy. Such office may be established within the office of the mayor or any department or office the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or by the head of such department or office.,,,MOFP,,,,,,,2007.0,,office-of-food-policy,2024-07-29,,,Office of Food Policy (MOFP),"Food Policy, Office of (MOFP)",,,office of the mayor of food policy,OPS_000042,Mayor's Office of Food Policy,Mayoral unit/office,ops,Kate MacKenzie,Executive Director,https://www.nyc.gov/site/foodpolicy/about/contact.page,"[""OPS_000042"", ""REC_000187"", ""REC_000075""]",ops
Mayor's Office of Immigrant Affairs,"Immigrant Affairs, Mayor's Office of",Mayor's Office of Immigrant Affairs,,,"Immigrant Affairs, Mayor's Office of (MOIA)",Mayor’s Office of Immigrant Affairs (MOIA),"Immigrant Affairs, Mayor's Office of (MOIA)","Immigrant Affairs, Mayor's Office of (MOIA)",Mayor's Office of Immigrant Affairs (MOIA),Mayor's Office of Immigrant Affairs,Office of Immigrant Affairs,Active,Mayoral Office,The Mayor's Office of Immigrant Affairs and Language Services promotes the interests and needs of immigrants and provides,http://www.nyc.gov/immigrants,Mayor's Office,Deputy Mayor for Health and Human Services,New York City Charter,"Chapter 1, Section 18",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-182,"In furtherance of the policies stated in subdivision a of this section, there shall be established in the executive office of the mayor an office of immigrant affairs. The office shall be headed by a director, who shall be appointed by the mayor.",,,MOIA,,2.0,Manuel Castro,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Immigrant+Affairs+%28MOIA%29,,1985.0,,mayors-office-of-immigrant-affairs,2024-07-29,,,Mayor's Office of Immigrant Affairs (MOIA),"Immigrant Affairs, Mayor's Office of (MOIA)",Manuel,Castro,office of the mayor of immigrant affairs,OPS_000043,Mayor's Office of Immigrant Affairs,Mayoral unit/office,ops,Manuel Castro ,Commissioner,https://www.nyc.gov/site/immigrants/about/contact-us.page,"[""OPS_000043"", ""REC_000089""]",ops
Mayor's Office of Media and Entertainment,"Media and Entertainment, Mayor's Office of",Mayor's Office of Media and Entertainment,,"Media and Entertainment, Mayor's Office of","Media and Entertainment, Mayor's Office of (MOME)",Mayor’s Office of Media And Entertainment (MOME),"Media and Entertainment, Mayor's Office of (MOME)","Media and Entertainment, Mayor's Office of (MOME)",Mayor's Office of Media and Entertainment (MOME),Mayor's Office of Media and Entertainment,Office of Media and Entertainment,Active,Mayoral Office,"The agency includes the Office of Film, Theatre and Broadcasting; NYC Digital, which works to realize NYC’s potential as the world’s leading digital city; and NYC Media, the City's official network. ",http://www.nyc.gov/mome,Mayor's Office,"Deputy Mayor for Housing, Economic Development and Workforce",Mayoral Executive Order,"Executive Order 31, 2018",https://a860-gpp.nyc.gov/concern/nyc_government_publications/c821gp25p?locale=en,"The Mayor continues the duties of the Mayor's Office of Media and Entertainment, which consists of NYC Media, the Mayor's Office of Film, Theater, and Brodcasting, and the Mayor's Office of Nightlife.",,,MOME,,2.0,Pat Kaufman,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Media+And+Entertainment+%28MOME%29,,1966.0,,mayors-office-of-media-and-entertainment,2024-07-29,,,Mayor's Office of Media and Entertainment (MOME),"Media and Entertainment, Mayor's Office of (MOME)",Pat,Kaufman,office of the mayor of media and entertainment,OPS_000044,Mayor's Office of Media and Entertainment,Mayoral unit/office,ops,Pat Swinney Kaufman,Commissioner ,https://www.nyc.gov/site/mome/about/email-the-commissioner.page,"[""OPS_000044"", ""REC_000143""]",ops
Mayor's Office of Minority and Women-Owned Business Enterprises,"Minority and Women-Owned Business Enterprises, Mayor's Office of",Mayor's Office of Minority & Women Owned Business Enterprises,,,Mayor's Office of Minority and Women-Owned Business Enterprises (MWBE),,Mayor’s Office of Minority and Women-Owned Business Enterprises (MWBE),Mayor’s Office of Minority and Women-Owned Business Enterprises (MWBE),Mayor's Office of Minority and Women Owned Businesses (MWBE),Mayor's Office of Minority and Women-Owned Business Enterprises,Office of Minority and Women-Owned Business Enterprises,Active,Mayoral Office,"Mayor’s Office of M/WBEs is focused on fostering the success of minority- and women-owned businesses and coordinating the work of other City offices, including the Mayor’s Office of Contract Services and the Department of Small Business Services, that administer the City’s M/WBE programs. Through this office, the City is increasing agency accountability and ensuring access for businesses that want to contract with the City. The office also serves as a one-stop-shop for M/WBEs to connect with various City agencies.",https://www.nyc.gov/assets/mwbe/,Mayor's Office,First Deputy Mayor,New York City Charter,"Chapter 1, Section 20-h",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4670,The mayor shall establish an office of minority and women-owned business enterprises within any office of the mayor. The head of such office shall be either the director or an individual who shall report directly to the director.,,,MWBE,Office of M/WBE,2.0,Michael Garner,Citywide Chief Business Diversity Officer,,,,,mayors-office-of-minority-and-women-owned-business-enterprises,2024-07-29,,,Mayor's Office of Minority and Women-Owned Business Enterprises (MWBE),"Minority and Women-Owned Business Enterprises, Mayor's Office of (MWBE)",Michael,Garner,office of the mayor of minority and womenowned business enterprises,OPS_000057,Mayor's Office of Minority and Women-Owned Business Enterprises,Mayoral unit/office,ops,Michael Garner ,Citywide Chief Business Diversity Officer ,https://www.nyc.gov/assets/mwbe/?page=contact-us,"[{'id': 'HOO_000121', 'name': ""Mayor's Office of Minority and Women-Owned Business Enterprises (MWBE)"", 'score': None}]",ops
Mayor's Office of Nightlife,"Nightlife, Office of",,,,,,,,Office of Nightlife,Mayor's Office of Nightlife,Office of Nightlife,Active,Division,,,Mayor's Office of Media and Entertainment,Mayor's Office of Media and Entertainment,New York City Charter,"Chapter 1, Section 20-d",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5711,"The mayor shall establish an office of nightlife. Such office may be established within any office of the mayor or as a separate office or within any agency that does not conduct enforcement against nightlife establishments, provided that such office may also be established within the department of small business services. Such office shall be headed by a director who shall be appointed by the mayor or by the head of such office or agency.",,,ONL,,,,,,,2017.0,,office-of-nightlife,2024-07-29,,,Office of Nightlife (ONL),"Nightlife, Office of (ONL)",,,office of the mayor of nightlife,OPS_000058,Mayor's Office of Nightlife,Mayoral unit/office,ops,,,,"[""OPS_000058"", ""REC_000194""]",ops
Mayor's Office of Operations,"Operations, Mayor's Office of",Mayor's Office of Operations,,,"Operations, Mayor's Office of (OPS)",Mayor’s Office of Operations (OPS),"Operations, Mayor's Office of (OPS)","Operations, Mayor's Office of (OPS)",Mayor's Office of Operations (OPS),Mayor's Office of Operations,Mayor's Office of Operations,Active,Mayoral Office,"The Mayor's Office of Operations oversees the daily operations of City agencies, provides them with technical assistance and consulting services, and coordinates the streamlining and restructuring of City government.",http://www.nyc.gov/operations,Mayor's Office,Mayor's Office Chief of Staff,New York City Charter,"Chapter 15, Section 15",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5931,"There shall be, in the executive office of the mayor, an office of operations. The office shall be headed by a director, who shall be appointed by the mayor.",,,OPS,,2.0,Dan Steinberg,Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Operations+%28OPS%29,,1977.0,,mayors-office-of-operations,2024-07-29,,,Mayor's Office of Operations (OPS),"Operations, Mayor's Office of (OPS)",Dan,Steinberg,office of the mayor of operations,OPS_000070,Mayor's Office of Operations,Mayoral unit/office,ops,Dan Steinberg,Director,https://www.nyc.gov/site/operations/about/email-the-director.page,"[""OPS_000070"", ""REC_000205""]",ops
Mayor's Office of Pensions and Investments,"Pensions and Investments, Mayor's Office of",,,,,,,,Mayor's Office of Pensions & Investments,Mayor's Office of Pensions and Investments,Office of Pensions and Investments,Active,Mayoral Office,,,Department of Finance,Department of Finance,Mayoral Executive Order,"Executive Order 18, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/np193c94f?locale=en,"Executive Order No. 18 dated May 16, 2022 as it relates to Chief Pension Administrator, whereas the Comptroller, through the Bureau of Asset Management is the investment advisor to, and custodian of, the five System funds.",,,,,2.0,,,,,,,mayors-office-of-pensions-and-investments,2024-07-29,,,Mayor's Office of Pensions and Investments,"Pensions and Investments, Mayor's Office of",,,office of the mayor of pensions and investments,OPS_000048,Mayor's Office of Pensions and Investments,Mayoral unit/office,ops,,,,,ops
Mayor's Office of Policy and Planning,"Policy and Planning, Mayor's Office of",Mayor's Office of Policy and Planning,,,"Mayor's Office - Director, Policy and Planning",,,"Office of the Director, Policy and Planning",Mayor's Office of Policy and Planning,Mayor's Office of Policy and Planning,Office of Policy and Planning,Active,Mayoral Office,,,First Deputy Mayor,First Deputy Mayor,Mayoral Executive Order,"Executive Order 5, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hx70d?locale=en,"Establishes the titles, duties, and responsibilities of the six Deputy Mayors, the Chief of Staff to the Mayor, and the Chief Counsel to the mayor and City Hall. Revokes Executive Order No. 56, dated March 21, 2021.",,,,Mayor's Office of Policy and Planning and Delivery,2.0,,"Director, Policy and Planning",,,,,mayors-office-of-policy-and-planning,2024-07-29,,,Mayor's Office of Policy and Planning,"Policy and Planning, Mayor's Office of",,,office of the mayor of policy and planning,OPS_000049,Mayor's Office of Policy and Planning,Mayoral unit/office,ops,Sheriff Soliman ,"Director, Policy and Planning ",https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,"[""OPS_000049"", ""REC_000115""]",ops
Mayor's Office of Special Enforcement,"Special Enforcement, Mayor's Office of",Mayor's Office of Special Enforcement,,,"Special Enforcement, Mayor's Office of (OSE)",,"Special Enforcement, Mayor’s Office of (OSE)","Special Enforcement, Mayor’s Office of (OSE)",Office of Special Enforcement (OSE),Mayor's Office of Special Enforcement,Office of Special Enforcement,Active,Mayoral Office,"The Mayor's Office of Special Enforcement (OSE) is an innovative, solutions-oriented task force that ensures NYC communities are safe from harmful illegal and unregulated industries that one agency and one set of enforcement tools alone can't address. Our multi-agency enforcement team devises strategic solutions—ranging from public education to enforcement action—to complex problems.",https://www1.nyc.gov/site/specialenforcement/index.page,Mayor's Office,Office of Administrative Justice Coordinator,Mayoral Executive Order,"Executive Order 96, 2006",https://a860-gpp.nyc.gov/concern/nyc_government_publications/z029p497s?locale=en,"The Office of Midtown Enforcement shall now be known as the Office of Special Enforcement (“Office”). The Office shall, on a Citywide basis, continue to implement the enforcement coordination functions of the Office of Midtown Enforcement as further described in section 2 of this Order. The Office shall be located within the Office of the Criminal Justice Coordinator, and be headed by a Director who shall report to the Deputy Mayor for Administration. The Director shall be accountable for 2 the Office’s performance to the Criminal Justice Coordinator, Deputy Mayor for Administration and Mayor.",,,OSE,AJC,,Christian J. Klossner,Executive Director,,,2006.0,,mayors-office-of-special-enforcement,2024-07-29,,,Mayor's Office of Special Enforcement (OSE),"Special Enforcement, Mayor's Office of (OSE)",Christian,Klossner,office of the mayor of special enforcement,OPS_000071,Mayor's Office of Special Enforcement,Mayoral unit/office,ops,Christian J. Klossner,Executive Director,https://www.nyc.gov/site/specialenforcement/about/contact-us.page,"[""OPS_000071"", ""REC_000220""]",ops
Mayor's Office of Special Projects and Community Events,"Special Projects and Community Events, Mayor's Office of",Mayor's Office of Special Projects and Community Events,,,Mayor's Office of Special Projects & Community Events (MOSPCE),,Mayor's Office of Special Projects & Community Events (MOSPCE),Mayor's Office of Special Projects & Community Events (MOSPCE),Mayor's Office of Special Projects and Community Events (MOSPCE),Mayor's Office of Special Projects and Community Events,Office of Special Projects and Community Events,Active,Mayoral Office,"The Mayor's Office of Special Projects and Community Events (MOSPCE) organizes, manages and directs all public ceremonies, celebrations, receptions, and similar affairs held under City auspices by order of the Mayor. MOSPCE also coordinates the activities of the various City agencies and departments with regard to the planning and implementation of special events, and maintains liaison with the private sector for the coordination and support of City-sponsored functions. Gracie Mansion – ""the People's House"" – serves as a historical centerpiece for many of these gatherings, as do New York City schools, museums, theatres, and landmark buildings.",http://www.nyc.gov/mospce,Mayor's Office,Mayor's Office Chief of Staff,Mayoral Executive Order,"Executive Order 36, 1997",https://a860-gpp.nyc.gov/concern/nyc_government_publications/5425k999s?locale=en,This Executive Order by the Mayor announces the establishment of The Office of Special Projects and Events.,,,MOSPCE,,2.0,Trey Moynihan,Director,,,1976.0,,mayors-office-of-special-projects-and-community-events,2024-07-29,,,Mayor's Office of Special Projects and Community Events (MOSPCE),"Special Projects and Community Events, Mayor's Office of (MOSPCE)",Trey,Moynihan,office of the mayor of special projects and community events,OPS_000052,Mayor's Office of Special Projects and Community Events,Mayoral unit/office,ops,Trey Moynihan ,Executive Director,https://www.nyc.gov/site/mospce/about/contact-us.page,"[{'id': 'HOO_000098', 'name': ""Mayor's Office of Special Projects & Community Events (MOSPCE)"", 'score': None}]",ops
Mayor's Office of Sports and Recreation,"Sports, Wellness, and Recreation, Mayor's Office of","Mayor's Office of Sports, Wellness, and Recreation",,,"Sports, Wellness and Recreation, Mayor's Office of (MOSWR)",,"Sports, Wellness and Recreation, Mayor's Office of (MOSWR)","Sports, Wellness and Recreation, Mayor's Office of (MOSWR)","Mayor's Office of Sports, Wellness, and Recreation (MOSWR)",Mayor's Office of Sports and Recreation,"Office of Sports, Wellness and Recreation",Active,Mayoral Office,"The NYC Mayor's Office of Sports, Wellness & Recreation (MOSWR) manages and oversees The Mayor's Cup brand and events, and identifies innovative, practical, and quality programs that positively impact youth and communities.",https://www.nyc.gov/content/sports/pages/,Mayor's Office,Mayor's Office Chief of Staff,New York City Charter,"Chapter 1, Section 20-l",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5776,"The mayor shall establish an office of sports, wellness and recreation. Such office shall be established as a separate office and not within another agency or office. Such office shall be headed by a director of sports, wellness and recreation, who shall be appointed by the mayor.",,,MOSWR,,2.0,Jasmine Ray,Director,,,2021.0,,mayors-office-of-sports-wellness-and-recreation,2024-07-29,,,"Mayor's Office of Sports, Wellness, and Recreation (MOSWR)","Sports, Wellness, and Recreation, Mayor's Office of (MOSWR)",Jasmine,Ray,office of the mayor of sports and recreation,OPS_000079,Mayor's Office of Sports and Recreation,Mayoral unit/office,ops,Jasmine Ray,Director,https://www.nyc.gov/content/sports/pages/meet-the-director,"[""OPS_000079"", ""REC_000222""]",ops
Mayor's Office of Strategic Partnerships,"Strategic Partnerships, Mayor's Office of",Mayor's Office of Strategic Partnerships,,,Mayor's Office of Strategic Partnerships (OSP),,Mayor's Office of Strategic Partnerships (OSP),Mayor's Office of Strategic Partnerships (OSP),,Mayor's Office of Strategic Partnerships,Office of Strategic Partnerships,Active,Mayoral Office,The Mayor's Office of Strategic Partnerships (OSP) serves as the central entry point for strategic partnerships across City government and aligns common goals of the private and public sector to enhance New York City’s ability to serve its residents.,https://www1.nyc.gov/site/partnerships/index.page,Mayor's Office,First Deputy Mayor,Press Release,"February 6, 2014 Press Release",https://www.nyc.gov/office-of-the-mayor/news/736-14/mayor-de-blasio-appoints-first-lady-chirlane-mccray-chair-the-mayor-s-fund-advance-new#/0,"About the Office of Strategic Partnerships: The Office will oversee and direct public-private partnerships for the administration with oversight of The Mayors Fund, The Fund for Public Schools and the Fund for Public Health, among other 501c3's associated with city agencies. The Office will coordinate the mission and strategy of the Funds, leverage assets and administer private funds to the agencies where applicable. The Office will coordinate inter-agency efforts as they relate to raising private funds to further the strategic initiatives established by the Office to help the people of New York.",,,OSP,,,,Executive Director,,,2014.0,,mayors-office-of-strategic-partnerships,2024-07-29,,,Mayor's Office of Strategic Partnerships (OSP),"Strategic Partnerships, Mayor's Office of (OSP)",,,office of the mayor of strategic partnerships,OPS_000072,Mayor's Office of Strategic Partnerships,Mayoral unit/office,ops,Darren Bloch,Senior Advisor & Director,https://www.nyc.gov/site/partnerships/contact/contact-strategic-partnerships.page,"[{'id': 'HOO_000099', 'name': ""Mayor's Office of Strategic Partnerships (OSP)"", 'score': None}]",ops
Mayor's Office of Talent and Workforce Development,"Talent and Workforce Development, Mayor's Office of",,,,"Talent and Workforce Development, Mayor's Office of",,,,,Mayor’s Office of Talent and Workforce Development,,Active,Mayoral Office,,https://www.nyc.gov/site/wkdev/index.page,Mayor's Office,"Deputy Mayor for Housing, Economic Development and Workforce",Mayoral Executive Order,"Executive Order 22, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/sx61dq02c?locale=en,"Executive Order No. 22, dated August 15, 2022, relates to The Office of Talent and Workforce Developments' new mission and structure to take effect immediately.",,,NYC Talent,,,,,,,2023.0,,mayors-office-of-talent-and-workforce-development,2024-07-29,,,Mayor's Office of Talent and Workforce Development (NYC Talent),"Talent and Workforce Development, Mayor's Office of (NYC Talent)",,,office of the mayor of talent and workforce development,OPS_000059,Mayor’s Office of Talent and Workforce Development,Mayoral unit/office,ops,Abby Jo Sigal,Executive Director ,https://www.nyc.gov/site/wkdev/about/contact.page,"[""OPS_000059"", ""REC_000224""]",ops
Mayor's Office of Urban Agriculture,"Urban Agriculture, Mayor's Office of",Mayor's Office of Urban Agriculture,,,"Urban Agriculture, Mayor's Office of",,"Urban Agriculture, Mayor’s Office of","Urban Agriculture, Mayor’s Office of",Mayor's Office of Urban Agriculture,Mayor's Office of Urban Agriculture,,Active,Division,"The Mayor’s Office of Urban Agriculture works to support, strengthen, and expand the city’s network of community gardens and urban farms for a healthier, more sustainable, and more equitable city.  ",https://www1.nyc.gov/site/agriculture/index.page,Mayor's Office of Climate and Environmental Justice,Mayor's Office of Climate and Environmental Justice,New York City Charter,"Chapter 1, Section 20-a",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5698,The mayor shall establish an office of urban agriculture within the office of long-term planning and sustainability. Such office shall be headed by a director who shall be appointed by the mayor and shall additionally employ at least one staff member.,,,MOUA,,2.0,Qiana Mickie,Director,,,2022.0,,mayors-office-of-urban-agriculture,2024-07-29,,,Mayor's Office of Urban Agriculture (MOUA),"Urban Agriculture, Mayor's Office of (MOUA)",Qiana,Mickie,office of the mayor of urban agriculture,OPS_000053,Mayor's Office of Urban Agriculture,Mayoral unit/office,ops,Qiana Mickie,Director ,https://www.nyc.gov/site/agriculture/contact/contact.page,"[""OPS_000053"", ""REC_000235""]",ops
Mayor's Office of Youth Employment,"Youth Employment, Mayor's Office of",Mayor's Office of Youth Employment,,,,,,,Mayor's Office of Youth Employment (MOYE),Mayor’s Office of Youth Employment,Office of Youth Employment,Active,Mayoral Office,,https://www.nyc.gov/site/youthemployment/index.page,Mayor's Office,Mayor's Fund to Advance New York City,Mayoral Executive Order,"Executive Order 70, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/8w32r887z?locale=en,"The Mayor establishes the Mayor's Office of Youth employment, which is committed to continuously improving the educational and career outcomes of the City's youth through strategic resource allocation, active collaboration, and consistent focus on equity and opportunity.",,,MOYE,,2.0,,,,,1994.0,,mayors-office-of-youth-employment,2024-07-29,,,Mayor's Office of Youth Employment (MOYE),"Youth Employment, Mayor's Office of (MOYE)",,,office of the mayor of youth employment,OPS_000054,Mayor’s Office of Youth Employment,Mayoral unit/office,ops,,,,,ops
Mayor's Office for People with Disabilities,"People with Disabilities, Mayor's Office for",Mayor's Office for People with Disabilities,,,Mayor's Office for People with Disabilities (MOPD),,Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities,Office for People with Disabilities,Active,Mayoral Office,MOPD works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities.,http://www.nyc.gov/mopd,Mayor's Office,Chief Counsel to the Mayor and City Hall,Mayoral Executive Order,"Executive Order 17, 1990",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6969z1010?locale=en,This Executive Order by the Mayor announces the Establishment of the Mayor's Office for People with Disabilities.,,,MOPD,,2.0,Christina Curry,Commissioner,,,1973.0,,mayors-office-for-people-with-disabilities,2024-07-29,,,Mayor's Office for People with Disabilities (MOPD),"People with Disabilities, Mayor's Office for (MOPD)",Christina,Curry,office of the mayor people with disabilities,OPS_000046,Mayor's Office for People with Disabilities,Mayoral unit/office,ops,Christina Curry,Commissioner,https://www.nyc.gov/site/mopd/about/email-the-commissioner.page,"[{'id': 'HOO_000095', 'name': ""Mayor's Office for People with Disabilities (MOPD)"", 'score': None}]",ops
Mayor's Office to Prevent Gun Violence,"Prevent Gun Violence, Office to",,,,,,,,Office to Prevent Gun Violence,Mayor's Office to Prevent Gun Violence,Office to Prevent Gun Violence,Active,Division,,https://www.nyc.gov/site/peacenyc/index.page,Office of Neighborhood Safety,Office of Neighborhood Safety,New York City Charter,"Chapter 1, Section 13-f",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5804,"The mayor shall establish an office for neighborhood safety and the prevention of gun violence. Such office may, but need not, be established in the executive office of the mayor and may be established as a separate office within any other office of the mayor. Such office shall be headed by a director who shall be appointed by the mayor. For the purposes of this section, the term ""director"" means the director of the office for neighborhood safety and the prevention of gun violence.",Office for Neighborhood Safety and the Prevention of Gun Violence,Office for Neighborhood Safety and the Prevention of Gun Violence (partial),OPGV,,,,,,,2017.0,,office-to-prevent-gun-violence,2024-07-29,,,Office to Prevent Gun Violence (OPGV),"Prevent Gun Violence, Office to (OPGV)",,,office of the mayor prevent gun violence,OPS_000047,Mayor's Office to Prevent Gun Violence,Mayoral unit/office,ops,,,,"[""OPS_000047"", ""REC_000204"", ""REC_000170""]",ops
Mayor's Office to Protect Tenants,"Protect Tenants, Mayor's Office to",Mayor's Office to Protect Tenants,,,,,,,Mayor's Office to Protect Tenants (MOPT),Mayor's Office to Protect Tenants,Office to Protect Tenants,Reorganized,Mayoral Office,,https://www.nyc.gov/content/tenantprotection/pages/,Mayor's Office,"Deputy Mayor for Housing, Economic Development and Workforce",Mayoral Executive Order,"Executive Order 39, 2019",https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hz636?locale=en,The Mayor establishes the Mayor's Office to Protect Tenants. The Mayor's Office to Protect Tenants shall coordinate the work of the City to protect the right of tenants in NYC.,,,MOPT,,2.0,,,,,,,mayors-office-to-protect-tenants,2024-07-29,,,Mayor's Office to Protect Tenants (MOPT),"Protect Tenants, Mayor's Office to (MOPT)",,,office of the mayor protect tenants,OPS_000050,Mayor's Office to Protect Tenants,Mayoral unit/office,ops,,,,,ops
Mayor's Office Risk Management & Compliance,"Risk Management and Compliance, Mayor's Office of",Mayor's Office of Risk Management and Compliance,,,,,,,Mayor's Office of Risk Management and Compliance (RMC),Mayor's Office Risk Management & Compliance,Office of Risk Management and Compliance,Active,Mayoral Office,,,Mayor's Office,Chief Counsel to the Mayor and City Hall,Mayoral Executive Order,"Executive Order 24, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/9p290d44p?locale=en,"Executive Order No. 24, dated January 27, 2023 is being submitted for the effectiveness and integrity of city government operations where there shall be a Mayor's Office of Risk Management and Compliance and there shall be a Mayor's Office of Municipal Services Assessment effective immediately.",,,RMC,,2.0,,,,,2022.0,,mayors-office-of-risk-management-and-compliance,2024-07-29,,,Mayor's Office of Risk Management and Compliance (RMC),"Risk Management and Compliance, Mayor's Office of (RMC)",,,office of the mayor risk management and compliance,OPS_000051,Mayor's Office Risk Management & Compliance,Mayoral unit/office,ops,,,,"[""OPS_000051"", ""REC_000136""]",ops
Mayor's Office - Senior Advisor and Director of Public Service Engagement,,,,,Mayor's Office - Senior Advisor and Director of Public Service Engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,office of the mayor senior advisor and director of public service engagement,REC_000140,,,,Andrea Shapiro Davis,Senior Advisor and Director of Public Service Engagement,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,"[{'id': 'HOO_000116', 'name': ""Mayor's Office - Senior Advisor and Director of Public Service Engagement"", 'score': None}]",nyc_agencies_export
Mayor's Office - Senior Advisor for External Affairs,,,,,Mayor's Office - Senior Advisor for External Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,office of the mayor senior advisor external affairs,REC_000141,,,,Tiffany Raspberry,Senior Advisor for External Affairs ,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,"[{'id': 'HOO_000115', 'name': ""Mayor's Office - Senior Advisor for External Affairs"", 'score': None}]",nyc_agencies_export
Mayor's Office - Senior Advisor to the Mayor,,,,,Mayor's Office - Senior Advisor to the Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,office of the mayor senior advisor mayor,REC_000142,,,,Stefan Ringel,Senior Advisor to the Mayor,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,"[{'id': 'HOO_000114', 'name': ""Mayor's Office - Senior Advisor to the Mayor"", 'score': None}]",nyc_agencies_export
