Name,NameAlphabetized,Name - HOO,URL,Description,PrincipalOfficerName,PrincipalOfficerTitle,ParentOrganization,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - Ops,Name - WeGov
Intergovernmental Affairs,"Intergovernmental Affairs, Mayor's Office of","Intergovernmental Affairs, Mayors Office of (MOIGA)",http://www1.nyc.gov/site/intergovernmental/index.page,"The Mayor's Office of Intergovernmental Affairs coordinates the City's interaction with state and federal Legislative Affairs offices, as well as the offices of the City Comptroller, Public Advocate, and Borough Presidents. The office keeps the Mayor and the Deputy Mayor for Operations informed about intergovernmental issues and is the liaison between the City and other governments, seeking to foster constructive links between the Administration and these entities.",Roberto Perez,Director,Mayor's Office,,MOIGA,,2.0,,1962.0,,,,"Intergovernmental Affairs, Mayor's Office of (MOIGA)","Intergovernmental Affairs, Mayor's Office of (MOIGA)",Intergovernmental Affairs,Office of Intergovernmental Affairs
Intergovernmental Affairs - City Legislative Affairs,"City Legislative Affairs, Mayor's Office of",,https://www.nyc.gov/site/intergovernmental/city/city-legislative-affairs.page,,,,Mayor's Office of Intergovernmental Affairs,,FED LEG,,2.0,,1947.0,,,,,,Intergovernmental Affairs - City Legislative Affairs,City Legislative Affairs; State Legislative Affairs
Intergovernmental Affairs - Federal Legislative Affairs,,,,,,,,,,,,,,,,,,,Intergovernmental Affairs - Federal Legislative Affairs,
Intergovernmental Affairs - State Legislative Affairs,,,,,,,,,,,,,,,,,,,Intergovernmental Affairs - State Legislative Affairs,
"Jamaica Bay - Rockaway Parks Conservancy, Inc.",,,,,,,,,,,,,,,,,,,"Jamaica Bay - Rockaway Parks Conservancy, Inc.",
Jamaica Bay Task Force,,,,,,,,,,,,,,,,,,,Jamaica Bay Task Force,
Jewish Advisory Council,,,,,,,,,,,,,,,,,,,Jewish Advisory Council,
Juvenile Justice Advisory Board,,,,,,,,,,,,,,,,,,,Juvenile Justice Advisory Board,
Kings County Public Administrator,Public Administrator,Public Administrator - Kings County (KCPA),https://www.nyc.gov/site/nycountypa/index.page,,,,,,PANY,,,,1905.0,,Public Administrator,,,,Kings County Public Administrator,
Land Development Corporation,,,,,,,,,,,,,,,,,,,Land Development Corporation,
Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission (LPC),http://www.nyc.gov/landmarks,"The Landmarks Preservation Commission protects and preserves the historically and architecturally significant neighborhoods, buildings and sites that tell the collective story of New York City.   ",Sarah Carroll,Chair,,,LPC,,136.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Landmarks+Preservation+Commission+%28LPC%29,1962.0,Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission,Landmarks Preservation Commission
Latin Media and Entertainment Commission,Latin Media and Entertainment Commission,,,,,,,,LMEC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Latin+Media+%26+Entertainment+Commission+%28LMEC%29,2003.0,,,Latin Media & Entertainment Commission (LMEC),,,Latin Media & Entertainment Commission,
Law Department,Law Department,Law Department (LAW),http://www.nyc.gov/law,"The Law Department is the attorney for the City, City agencies and certain non- City agencies and pension boards, and is in charge of litigation and other legal matters involving the City and its interests. ",Muriel Goode-Trufant,Acting Corporation Counsel of the City of New York,Mayor's Office,,LAW,Law; Law Dept.,25.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Law+Department+%28LAW%29,1849.0,Law Department,"Law Department, Office of the Corporation Counsel",Law Department (LAW),Law Department (LAW),Law Department (LAW),Law Department,Law Department
Local Conditional Release Commission,,,,,,,,,,,,,,,,,,,Local Conditional Release Commission,
Loft Board,"Loft Board, New York City",Loft Board (LOFT),http://www.nyc.gov/loftboard,"The New York City Loft Board resolves issues regarding the legalization for residential use of buildings under the Board's jurisdiction (known as interim multiple dwellings or IMDs), adjudicates proceedings resulting from applications filed by IMD owners and tenants, and enforces minimum housing maintenance standards for IMD buildings.",Martha Cruz,Executive Director,,,LOFT,,,,1982.0,,,,Loft Board (LOFT),Loft Board (LOFT),Loft Board,New York City Loft Board
Lower Manhattan Development Corporation,Lower Manhattan Development Corporation,,http://www.renewnyc.com/,,,,,,,,,,2001.0,,Lower Manhattan Development Corporation,,,,Lower Manhattan Development Corporation,
Made in New York,Made in New York,,https://www.madeinnyc.org/,,,,,,MINY,,,,2005.0,,,,,,,
Marshall Plan for Moms Task Force,,,,,,,,,,,,,,,,,,,Marshall Plan for Moms Task Force,
Mayor's Advance Team,,,,,,,,,,,,,,,,,,,Mayor's Advance Team,
Mayor's Advisory Committee on the Judiciary,"Judiciary, Mayor's Advisory Committee on the","Judiciary, Mayors Advisory Committee on the (MACJ)",,,,,,,,,,,1987.0,,,,,,Mayor's Advisory Committee on the Judiciary,
Mayor's Chief of Staff,"Chief of Staff, Mayor's Office",Mayor's Office - Chief of Staff,,,,Chief of Staff,Mayor's Office,,,,,,,,,,,Office of the Chief of Staff,Mayor's Chief of Staff,
Mayor's Committee on City Marshals,"City Marshals, Mayor's Committee on",Mayor's Committee on City Marshals (MCCM),http://www.nyc.gov/marshals,"The Mayor's Committee on City Marshals establishes and publishes qualifying criteria for appointment to the office of City Marshal, recruits and receives names of candidates for that office, determines which candidates are best qualified to serve as City Marshals, and recommends qualified persons to the Mayor when there is a vacancy.",Charles DeStefano,Chair,,,MCCM,,,,1980.0,,,,Mayor's Committee on City Marshals (MCCM),Mayor's Committee on City Marshals (MCCM),Mayor's Committee on City Marshals,Mayor's Committee on City Marshals
Mayor's Fund to Advance New York City,Mayor's Fund to Advance New York City,Mayor's Fund to Advance NYC (Mayor's Fund),http://www.nyc.gov/fund,"The Mayor's Fund to Advance New York City was established in 1994 to serve as the umbrella not-for-profit corporation for the City of New York. The Mayor's Fund is a publicly supported, not-for-profit corporation, dedicated to working closely with the City of New York. As the City's 501(c)(3) not-for-profit corporation, the Mayor's Fund works with the City of New York to leverage public sector initiatives with private sector support. The Mayor's Fund to Advance New York City raises money to promote the general welfare of the City's residents and aid civic improvements. The Fund supports the work of many City Agencies including Education, Parks, Health, and Cultural Affairs, and raises funds for many quality of life initiatives.",,Executive Director,Deputy Mayor for Strategic Initiatives,,MAYORS FUND,,,,1994.0,,,,Mayor's Fund to Advance NYC (Mayor's Fund),Mayor's Fund to Advance NYC (Mayor's Fund),Mayor's Fund to Advance NYC,Mayor's Fund to Advance New York City
Mayor's Fund Board of Advisors,,,,,,,,,,,,,,,,,,,Mayor's Fund Board of Advisors,
Mayor's Fund Board of Directors,,,,,,,,,,,,,,,,,,,Mayor's Fund Board of Directors,
Mayor's Office,Mayor's Office,Mayor's Office (OM),http://www.nyc.gov/mayor,,Eric L. Adams,Mayor,Office of Engagement,,OM,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=NYC+Service,1665.0,Mayoralty,"Mayor, Office of the",NYC Service,Mayor's Office (OM); NYC Service,Mayor's Office (OM); NYC Service,Mayor's Office,Mayor's Office; NYC Service
Mayor's Office for Economic Opportunity,"Economic Opportunity, Mayor's Office for",Mayor's Office for Economic Opportunity,http://www.nyc.gov/opportunity,"The Mayor’s Office for Economic Opportunity (NYC Opportunity), formerly known as the Center for Economic Opportunity, was established by Mayor Bloomberg on December 18, 2006 to implement innovative ways to reduce poverty in New York City. NYC Opportunity uses evidence and innovation to reduce poverty and increase equity. We advance research, data and design in the City’s program and policy development, service delivery, and budget decisions. NYC Opportunity’s work includes analyzing existing anti-poverty approaches, developing new interventions, facilitating the sharing of data across City agencies, and rigorously assessing the impact of key initiatives.",Carson Hicks,Deputy Executive Director,Mayor's Office,,NYC OPPORTUNITY,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+for+Economic+Opportunity,2006.0,,,Mayor’s Office for Economic Opportunity,Mayor's Office for Economic Opportunity,Mayor's Office for Economic Opportunity,Mayor's Office for Economic Opportunity,Office for Economic Opportunity
Mayor's Office to End Domestic and Gender-Based Violence,"End Domestic and Gender-Based Violence, Mayor's Office to",Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),http://www.nyc.gov/domesticviolence,"The Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV) operates the NYC Family Justice Centers, formulates policies and programs, monitors service delivery, and performs outreach to raise awareness. ",Cecile Noel,Commissioner,Mayor's Office,Mayor's Office to Combat Domestic Violence,ENDGBV,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+to+End+Domestic+and+Gender-Based+Violence+%28ENDGBV%29,2016.0,,,Mayor’s Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor’s Office to End Domestic and Gender-Based Violence,Office to End Domestic Violence and Gender-Based Violence
Mayor's Office - Executive Director of Talent and Workforce Development,,Mayor's Office - Executive Director of Talent and Workforce Development,,,,,,,,,,,,,,,,,,
Mayor's Office for International Affairs,"International Affairs, Mayor's Office for",Mayor's Office For International Affairs (IA),http://www.nyc.gov/internationalaffairs,The Mayor's Office for International Affairs is the first point of contact for foreign governments and the diplomatic community for any City-related requests or issues.,Edward Mermelstein,Commissioner,Mayor's Office,,IA,,2.0,,1962.0,,,,Mayor's Office for International Affairs (IA),Mayor's Office for International Affairs (IA),Mayor's Office for International Affairs,Office of International Affairs
Mayor's Office - Media and Research Analysis,,,,,,,,,,,,,,,,,,,Mayor's Office -- Media and Research Analysis,
Mayor's Office for Nonprofit Services,NYC Nonprofits,,https://www.nyc.gov/site/nonprofits/about/about.page,,,,Mayor's Office,Office of not-for-profit organization services; Mayor's Office of Nonprofits,NYC NONPROFITS,,2.0,,,,,,,,Mayor's Office for Nonprofit Services,
Mayor's Office of Administrative Services,"Administrative Services, Office of",,,,,,Mayor's Office,,,,,,2023.0,,,,,,Mayor's Office of Administrative Services,
Mayor's Office of Animal Welfare,"Animal Welfare, Office of","Animal Welfare, NYC Mayor's Office of",https://www1.nyc.gov/site/animalwelfare/index.page,"The Office of Animal Welfare recognizes the exchange between human social justice issues, environmental sustainability, and animal welfare, and therefore aims to facilitate solutions that address the integrated nature of these problems.",Alexandra Silver,Director,Mayor's Community Affairs Unit,,,,,,2019.0,,,,"Animal Welfare, NYC Mayor’s Office of","Animal Welfare, NYC Mayor’s Office of",Mayor's Office of Animal Welfare,Office of Animal Welfare
Mayor's Office of Appointments,"Appointments, Mayor's Office of","Appointments, Mayor's Office (MOA)",http://www.nyc.gov/appointments,"The Mayor's Office of Appointments (MOA) is dedicated to advancing the Mayor's vision of a diverse and inclusive team of senior leaders in city government, and charged with promoting equity, opportunity and excellence in policy making and the delivery of city services. ",Lisa Lashley,Director,Mayor's Office,,MOA,,2.0,,2009.0,,,,"Appointments, Mayor's Office of (MOA)","Appointments, Mayor's Office of (MOA)",Mayor's Office of Appointments,Office of Appointments
Mayor's Office of Citywide Events Coordination & Management,"Citywide Event Coordination and Management, Mayor's Office of","Citywide Event Coordination and Management, Office of (CECM)",http://www.nyc.gov/cecm,"The Office of Citywide Event Coordination and Management (CECM) oversees all event permitting activity in New York City. CECM advises and assists the Mayor in the coordination of policies, plans, procedures, and operations common to the permitting, review, and coordination of street events and other permitted activities.",Dawn Tolson,Director,Mayor's Office,,CECM,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Citywide+Event+Coordination+and+Management+%28CECM%29,2007.0,,,Office of Citywide Event Coordination and Management (CECM),"Citywide Event Coordination and Management, Office of (CECM)","Citywide Event Coordination and Management, Office of (CECM)",Mayor's Office of Citywide Events Coordination & Management,Office of Citywide Event Coordination and Management
Mayor's Office of Climate and Environmental Justice,"Climate and Environmental Justice, Mayor's Office of",Mayor's Office of Climate and Environmental Justice,https://climate.cityofnewyork.us/,"As a unit of the Mayor's Office, Climate Policy and Programs leads the City's program for integrated climate actions, and includes the Office of Recovery and Resiliency, the Office of Sustainability, the Office of Environmental Coordination, and the coordination of the OneNYC Program.",Kizzy Charles-Guzman,Executive Director,Mayor's Office,,MOCEJ,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Climate+and+Environmental+Justice+%28MOCEJ%29,2017.0,,,Mayor’s Office of Climate and Environmental Justice (MOCEJ),Mayor’s Office of Climate and Environmental Justice,Mayor’s Office of Climate and Environmental Justice,Mayor's Office of Climate and Environmental Justice,Office of Climate and Environmental Justice
Mayor's Office of Contract Services,"Contract Services, Mayor's Office of","Contract Services, Mayor's Office of (MOCS)",http://www.nyc.gov/mocs,The Mayor's Office of Contract Services supervises and sustains the procurement activities of New York City's agencies.,Lisa Flores,Director,Mayor's Office,,MOCS,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Contract+Services+%28MOCS%29,,,"Contract Services, Mayor's Office of",Mayor’s Office of Contract Services (MOCS),"Contract Services, Mayor's Office of (MOCS)","Contract Services, Mayor's Office of (MOCS)",Mayor's Office of Contract Services,Mayor’s Office of Contract Services
Mayor's Office of Correspondence,"Correspondence, Office of",,,,,,Mayor's Office,,,,,,,,,,,,Mayor's Office of Correspondence,
Mayor's Office of Criminal Justice,"Criminal Justice, Mayor's Office of","Criminal Justice, Mayor's Office of",https://criminaljustice.cityofnewyork.us/,"The the Mayor’s Office of Criminal Justice (MOCJ) facilitates cooperation and partnerships among the agencies and actors involved in crime-fighting and criminal justice in New York City. In doing so, MOCJ works to ensure the fair and efficient functioning of the criminal justice system in New York City.",Deanna Logan,Director,Mayor's Office,,MOCJ,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Criminal+Justice+%28MOCJ%29,1999.0,,,Mayors Office of Criminal Justice (MOCJ),"Criminal Justice, Mayor's Office of","Criminal Justice, Mayor's Office of",Mayor's Office of Criminal Justice,Office of Criminal Justice
Mayor's Office of Equity and Racial Justice,"Equity and Racial Justice, Mayor's Office of",Mayor's Office of Equity (MOE),https://www.nyc.gov/site/equity/index.page,"The Mayor's Office of Equity (MOE) will help foster a fairer, and more equitable city through policy, practices, and programs across all City agencies and systems. As the City's first, centralized equity office, MOE is an integral component of Mayor Adam's vision to build a stronger and healthier city that delivers for all New Yorkers.",Sideya Sherman,Commissioner,Mayor's Office,,MOERJ,MOE,2.0,,2021.0,,,,Mayor's Office of Equity (MOE),Mayor's Office of Equity (MOE),Mayor's Office of Equity & Racial Justice,Office of Equity
Mayor's Office of Ethnic and Community Media,"Ethnic and Community Media, Mayor's Office of","Ethnic and Community Media, Mayor's Office of (MOECM)",https://www1.nyc.gov/site/ethnicmedia/index.page,"The Mayor’s Office of Ethnic and Community Media facilitates connections between Ethnic and Community Media outlets, and City agencies, and Mayoral offices; advises the Mayor on communicating information to the public; oversees the Local Law 83 ECM advertising spending requirement; manages the citywide marketing directory, and publishes an annual report on advertising spending by Mayoral Agencies and for the Mayor and the Speaker.",José Bayona,Executive Director,Mayor's Office,,MOECM,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Ethnic+and+Community+Media+%28MOECM%29,2021.0,,,Mayor’s Office of Ethnic and Community Media (MOECM),"Ethnic and Community Media, Mayor’s Office of (MOECM)","Ethnic and Community Media, Mayor’s Office of (MOECM)",Mayor’s Office of Ethnic & Community Media,Office of Ethnic and Community Media
Mayor's Office of Food Policy,"Food Policy, Office of","Food Policy, Mayor's Office of",https://www.nyc.gov/site/foodpolicy/index.page,,,,Mayor's Office,,MOFP,,,,2007.0,,,,,,Mayor's Office of Food Policy,
Mayor's Office of Immigrant Affairs,"Immigrant Affairs, Mayor's Office of","Immigrant Affairs, Mayor's Office of (MOIA)",http://www.nyc.gov/immigrants,The Mayor's Office of Immigrant Affairs and Language Services promotes the interests and needs of immigrants and provides ,Manuel Castro,Commissioner,Mayor's Office,,MOIA,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Immigrant+Affairs+%28MOIA%29,1985.0,,,Mayor’s Office of Immigrant Affairs (MOIA),"Immigrant Affairs, Mayor's Office of (MOIA)","Immigrant Affairs, Mayor's Office of (MOIA)",Mayor's Office of Immigrant Affairs,Office of Immigrant Affairs
Mayor's Office of Media and Entertainment,"Media and Entertainment, Mayor's Office of","Media and Entertainment, Mayor's Office of (MOME)",http://www.nyc.gov/mome,"The agency includes the Office of Film, Theatre and Broadcasting; NYC Digital, which works to realize NYC’s potential as the world’s leading digital city; and NYC Media, the City's official network. ",Pat Kaufman,Commissioner,Mayor's Office,,MOME,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Media+And+Entertainment+%28MOME%29,1966.0,,"Media and Entertainment, Mayor's Office of",Mayor’s Office of Media And Entertainment (MOME),"Media and Entertainment, Mayor's Office of (MOME)","Media and Entertainment, Mayor's Office of (MOME)",Mayor's Office of Media and Entertainment,Office of Media and Entertainment
Mayor's Office of Minority and Women-Owned Business Enterprises,"Minority and Women-Owned Business Enterprises, Mayor's Office of",Mayor's Office of Minority and Women-Owned Business Enterprises (MWBE),https://www.nyc.gov/assets/mwbe/,"Mayor’s Office of M/WBEs is focused on fostering the success of minority- and women-owned businesses and coordinating the work of other City offices, including the Mayor’s Office of Contract Services and the Department of Small Business Services, that administer the City’s M/WBE programs. Through this office, the City is increasing agency accountability and ensuring access for businesses that want to contract with the City. The office also serves as a one-stop-shop for M/WBEs to connect with various City agencies.",Michael Garner,Citywide Chief Business Diversity Officer,Mayor's Office,,MWBE,Office of M/WBE,2.0,,,,,,Mayor’s Office of Minority and Women-Owned Business Enterprises (MWBE),Mayor’s Office of Minority and Women-Owned Business Enterprises (MWBE),Mayor's Office of Minority and Women-Owned Business Enterprises,Office of Minority and Women-Owned Business Enterprises
Mayor's Office of Nightlife,"Nightlife, Office of",,,,,,Mayor's Office of Media and Entertainment,,ONL,,,,2017.0,,,,,,Mayor's Office of Nightlife,Office of Nightlife
Mayor's Office of Operations,"Operations, Mayor's Office of","Operations, Mayor's Office of (OPS)",http://www.nyc.gov/operations,"The Mayor's Office of Operations oversees the daily operations of City agencies, provides them with technical assistance and consulting services, and coordinates the streamlining and restructuring of City government.",Dan Steinberg,Director,Mayor's Office,,OPS,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Operations+%28OPS%29,1977.0,,,Mayor’s Office of Operations (OPS),"Operations, Mayor's Office of (OPS)","Operations, Mayor's Office of (OPS)",Mayor's Office of Operations,Mayor's Office of Operations
Mayor's Office of Pensions and Investments,"Pensions and Investments, Mayor's Office of",,,,,,Department of Finance,,,,2.0,,,,,,,,Mayor's Office of Pensions and Investments,Office of Pensions and Investments
Mayor's Office of Policy and Planning,"Policy and Planning, Mayor's Office of","Mayor's Office - Director, Policy and Planning",,,,"Director, Policy and Planning",First Deputy Mayor,,,Mayor's Office of Policy and Planning and Delivery,2.0,,,,,,,"Office of the Director, Policy and Planning",Mayor's Office of Policy and Planning,Office of Policy and Planning
Mayor's Office of Special Enforcement,"Special Enforcement, Mayor's Office of","Special Enforcement, Mayor's Office of (OSE)",https://www1.nyc.gov/site/specialenforcement/index.page,"The Mayor's Office of Special Enforcement (OSE) is an innovative, solutions-oriented task force that ensures NYC communities are safe from harmful illegal and unregulated industries that one agency and one set of enforcement tools alone can't address. Our multi-agency enforcement team devises strategic solutions—ranging from public education to enforcement action—to complex problems.",Christian J. Klossner,Executive Director,Mayor's Office,,OSE,AJC,,,2006.0,,,,"Special Enforcement, Mayor’s Office of (OSE)","Special Enforcement, Mayor’s Office of (OSE)",Mayor's Office of Special Enforcement,Office of Special Enforcement
Mayor's Office of Special Projects and Community Events,"Special Projects and Community Events, Mayor's Office of",Mayor's Office of Special Projects & Community Events (MOSPCE),http://www.nyc.gov/mospce,"The Mayor's Office of Special Projects and Community Events (MOSPCE) organizes, manages and directs all public ceremonies, celebrations, receptions, and similar affairs held under City auspices by order of the Mayor. MOSPCE also coordinates the activities of the various City agencies and departments with regard to the planning and implementation of special events, and maintains liaison with the private sector for the coordination and support of City-sponsored functions. Gracie Mansion – ""the People's House"" – serves as a historical centerpiece for many of these gatherings, as do New York City schools, museums, theatres, and landmark buildings.",Trey Moynihan,Director,Mayor's Office,,MOSPCE,,2.0,,1976.0,,,,Mayor's Office of Special Projects & Community Events (MOSPCE),Mayor's Office of Special Projects & Community Events (MOSPCE),Mayor's Office of Special Projects and Community Events,Office of Special Projects and Community Events
Mayor's Office of Sports and Recreation,"Sports, Wellness, and Recreation, Mayor's Office of","Sports, Wellness and Recreation, Mayor's Office of (MOSWR)",https://www.nyc.gov/content/sports/pages/,"The NYC Mayor's Office of Sports, Wellness & Recreation (MOSWR) manages and oversees The Mayor's Cup brand and events, and identifies innovative, practical, and quality programs that positively impact youth and communities.",Jasmine Ray,Director,Mayor's Office,,MOSWR,,2.0,,2021.0,,,,"Sports, Wellness and Recreation, Mayor's Office of (MOSWR)","Sports, Wellness and Recreation, Mayor's Office of (MOSWR)",Mayor's Office of Sports and Recreation,"Office of Sports, Wellness and Recreation"
Mayor's Office of Strategic Partnerships,"Strategic Partnerships, Mayor's Office of",Mayor's Office of Strategic Partnerships (OSP),https://www1.nyc.gov/site/partnerships/index.page,The Mayor's Office of Strategic Partnerships (OSP) serves as the central entry point for strategic partnerships across City government and aligns common goals of the private and public sector to enhance New York City’s ability to serve its residents.,,Executive Director,Mayor's Office,,OSP,,,,2014.0,,,,Mayor's Office of Strategic Partnerships (OSP),Mayor's Office of Strategic Partnerships (OSP),Mayor's Office of Strategic Partnerships,Office of Strategic Partnerships
Mayor's Office of Talent and Workforce Development,"Talent and Workforce Development, Mayor's Office of","Talent and Workforce Development, Mayor's Office of",https://www.nyc.gov/site/wkdev/index.page,,,,Mayor's Office,,NYC Talent,,,,2023.0,,,,,,Mayor’s Office of Talent and Workforce Development,
Mayor's Office of Urban Agriculture,"Urban Agriculture, Mayor's Office of","Urban Agriculture, Mayor's Office of",https://www1.nyc.gov/site/agriculture/index.page,"The Mayor’s Office of Urban Agriculture works to support, strengthen, and expand the city’s network of community gardens and urban farms for a healthier, more sustainable, and more equitable city.  ",Qiana Mickie,Director,Mayor's Office of Climate and Environmental Justice,,MOUA,,2.0,,2022.0,,,,"Urban Agriculture, Mayor’s Office of","Urban Agriculture, Mayor’s Office of",Mayor's Office of Urban Agriculture,
Mayor's Office of Youth Employment,"Youth Employment, Mayor's Office of",,https://www.nyc.gov/site/youthemployment/index.page,,,,Mayor's Office,,MOYE,,2.0,,1994.0,,,,,,Mayor’s Office of Youth Employment,Office of Youth Employment
Mayor's Office for People with Disabilities,"People with Disabilities, Mayor's Office for",Mayor's Office for People with Disabilities (MOPD),http://www.nyc.gov/mopd,MOPD works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities.,Christina Curry,Commissioner,Mayor's Office,,MOPD,,2.0,,1973.0,,,,Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities,Office for People with Disabilities
Mayor's Office to Prevent Gun Violence,"Prevent Gun Violence, Office to",,https://www.nyc.gov/site/peacenyc/index.page,,,,Office of Neighborhood Safety,Office for Neighborhood Safety and the Prevention of Gun Violence (partial),OPGV,,,,2017.0,,,,,,Mayor's Office to Prevent Gun Violence,Office to Prevent Gun Violence
Mayor's Office Risk Management & Compliance,"Risk Management and Compliance, Mayor's Office of",,,,,,Mayor's Office,,RMC,,2.0,,2022.0,,,,,,Mayor's Office Risk Management & Compliance,Office of Risk Management and Compliance
Mayor's Office - Senior Advisor and Director of Public Service Engagement,,Mayor's Office - Senior Advisor and Director of Public Service Engagement,,,,,,,,,,,,,,,,,,
Mayor's Office - Senior Advisor for External Affairs,,Mayor's Office - Senior Advisor for External Affairs,,,,,,,,,,,,,,,,,,
Mayor's Office - Senior Advisor to the Mayor,,Mayor's Office - Senior Advisor to the Mayor,,,,,,,,,,,,,,,,,,
Mayor's Office - Speechwriting,,,,,,,,,,,,,,,,,,,Mayor's Office -- Speechwriting,
Mayor's Press Office,"Press Office, Mayor's",,,,,,Mayor's Office,,,,,,,,,,,,Mayor's Press Office,
Mayor's Public Engagement Unit,"Public Engagement Unit, Mayor's",Mayor's Public Engagement Unit (PEU),https://www1.nyc.gov/site/mayorspeu/index.page,"The Mayor's Public Engagement Unit (PEU) proactively connects New Yorkers to key City services, like housing and healthcare.",Adrienne Lever,Director,Office of Engagement,,PEU,,,,2015.0,,,,Mayor's Public Engagement Unit (PEU),Mayor's Public Engagement Unit (PEU),Mayor's Public Engagement Unit,Public Engagement Unit
NYC Media,,"Media, NYC",,,,,,,,,,,,,,,,,,
Medical Equity Advisory Board,,,,,,,,,,,,,,,,,,,Medical Equity Advisory Board,
Metropolitan Transportation Authority Board of Directors,Metropolitan Transportation Authority,,https://new.mta.info/,,,,,,MTA,,998.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Metropolitan+Transportation+Authority+%28MTA%29,1965.0,,,Metropolitan Transportation Authority (MTA),,,Metropolitan Transportation Authority Board of Directors,
Metropolitan Transportation Authority Capital Review Board ,,,,,,,,,,,,,,,,,,,Metropolitan Transportation Authority Capital Review Board ,
Metropolitan Transportation Sustainability Advisory Workgroup,,,,,,,,,,,,,,,,,,,Metropolitan Transportation Sustainability Advisory Workgroup,
MO of Utility Advocate,,,,,,,,,,,,,,,,,,,MO of Utility Advocate,
Moynihan Station Development Corporation,,,,,,,,,,,,,,,,,,,Moynihan Station Development Corporation,
Multiple Dwellings Construction Task Force,,,,,,,,,,,,,,,,,,,Multiple Dwellings Construction Task Force,
Municipal Archives,"Archives, Municipal",,,,,,Department of Records and Information Systems,,,,,,1950.0,,,,,,,
Municipal Division of Transitional Services,"Division of Transitional Services, Municipal",,,,,,Mayor's Office,,,,,,2016.0,,,,,,,
Municipal Records Management Division,"Records Management Division, Municipal",,,,,,Department of Records and Information Systems,,,,,,1977.0,,,,,,,
Municipal Reference and Research Center,"Reference and Research Center, Municipal",,,,,,Department of Records and Information Systems,,,,,,1969.0,,,,,,,
Municipal Services Assessment unit,"Municipal Services Assessment, Mayor's Office of",,,,,,Mayor's Office,,,,,,2023.0,,,,,,Municipal Services Assessment unit,
Municipal Voting Advisory Group,,,,,,,,,,,,,,,,,,,Municipal Voting Advisory Group,
Municipal Water Finance Authority,"Municipal Water Finance Authority, NYC","Water Finance Authority, NYC Municipal (NYW)",http://www.nyc.gov/nyw,"The New York City Municipal Water Finance Authority provides funding through the issuance of bonds, bond anticipation notes, and other obligations to finance capital projects related to supplying and purifying the City's high-quality drinking water and maintain safe wastewater collection and treatment.",David Womack,Chief Executive Officer,,,NYW,,,,1984.0,,"Water Finance Authority, NYC Municipal",,"Water Finance Authority, NYC Municipal (NYW)","Water Finance Authority, NYC Municipal (NYW)",Municipal Water Finance Authority,NYC Municipal Water Finance Authority
MWBE Advisory Board,,,,,,,,,,,,,,,,,,,MWBE Advisory Board,
NYC & Company,,,,,,,,,,,,,,,,,,,NYC & Company,
NYC Care,NYC Care,,https://www.nyccare.nyc/,,,,NYC Health + Hospitals,,,,,,2019.0,,,,,,,
