Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,RecordID,data_source
Mayor's Office of Youth Employment,"Youth Employment, Mayor's Office of",Mayor's Office of Youth Employment,,,,,,,Mayor's Office of Youth Employment (MOYE),Mayor’s Office of Youth Employment,Office of Youth Employment,OPS_000054,ops
Mayor's Office for People with Disabilities,"People with Disabilities, Mayor's Office for",Mayor's Office for People with Disabilities,,,Mayor's Office for People with Disabilities (MOPD),,Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities,Office for People with Disabilities,OPS_000046,ops
Mayor's Office to Prevent Gun Violence,"Prevent Gun Violence, Office to",,,,,,,,Office to Prevent Gun Violence,Mayor's Office to Prevent Gun Violence,Office to Prevent Gun Violence,OPS_000047,ops
Mayor's Office to Protect Tenants,"Protect Tenants, Mayor's Office to",Mayor's Office to Protect Tenants,,,,,,,Mayor's Office to Protect Tenants (MOPT),Mayor's Office to Protect Tenants,Office to Protect Tenants,OPS_000050,ops
Mayor's Office Risk Management & Compliance,"Risk Management and Compliance, Mayor's Office of",Mayor's Office of Risk Management and Compliance,,,,,,,Mayor's Office of Risk Management and Compliance (RMC),Mayor's Office Risk Management & Compliance,Office of Risk Management and Compliance,OPS_000051,ops
Mayor's Office - Senior Advisor and Director of Public Service Engagement,,,,,Mayor's Office - Senior Advisor and Director of Public Service Engagement,,,,,,,REC_000141,nyc_agencies_export
Mayor's Office - Senior Advisor for External Affairs,,,,,Mayor's Office - Senior Advisor for External Affairs,,,,,,,REC_000142,nyc_agencies_export
Mayor's Office - Senior Advisor to the Mayor,,,,,Mayor's Office - Senior Advisor to the Mayor,,,,,,,REC_000143,nyc_agencies_export
Mayor's Office -- Speechwriting,,,,,,,,,,Mayor's Office -- Speechwriting,,OPS_000078,ops
Mayor's Press Office,"Press Office, Mayor's",,,,,,,,,Mayor's Press Office,,OPS_000075,ops
Mayor's Public Engagement Unit,"Public Engagement Unit, Mayor's",Mayor's Public Engagement Unit,,,Mayor's Public Engagement Unit (PEU),,Mayor's Public Engagement Unit (PEU),Mayor's Public Engagement Unit (PEU),Public Engagement Unit (PEU),Mayor's Public Engagement Unit,Public Engagement Unit,OPS_000074,ops
"Media, NYC",NYC Media,,,,"Media, NYC",,"Media, NYC","Media, NYC",NYC Media,,NYC Media,REC_000145,nyc_agencies_export
Medical Equity Advisory Board,,,,,,,,,,Medical Equity Advisory Board,,OPS_000275,ops
Metropolitan Transportation Authority Board of Directors,Metropolitan Transportation Authority,,,,,Metropolitan Transportation Authority (MTA),,,Metropolitan Transportation Authority (MTA),Metropolitan Transportation Authority Board of Directors,,OPS_000281,ops
Metropolitan Transportation Authority Capital Review Board ,,,,,,,,,,Metropolitan Transportation Authority Capital Review Board ,,OPS_000282,ops
Metropolitan Transportation Sustainability Advisory Workgroup,,,,,,,,,,Metropolitan Transportation Sustainability Advisory Workgroup,,OPS_000283,ops
MO of Utility Advocate,,,,,,,,,,MO of Utility Advocate,,OPS_000081,ops
Moynihan Station Development Corporation,,,,,,,,,,Moynihan Station Development Corporation,,OPS_000280,ops
Multiple Dwellings Construction Task Force,,,,,,,,,,Multiple Dwellings Construction Task Force,,OPS_000274,ops
Municipal Archives,"Archives, Municipal",,,,,,,,,,,REC_000148,nyc_agencies_export
Municipal Credit Union,"Credit Union, Municipal",,,Municipal Credit Union,,,,,,,,REC_000149,nyc_agencies_export
Municipal Division of Transitional Services,"Division of Transitional Services, Municipal",,,,,,,,,,,REC_000150,nyc_agencies_export
Municipal Records Management Division,"Records Management Division, Municipal",,,,,,,,,,,REC_000151,nyc_agencies_export
Municipal Reference and Research Center,"Reference and Research Center, Municipal",,,,,,,,,,,REC_000152,nyc_agencies_export
Municipal Services Assessment unit,"Municipal Services Assessment, Mayor's Office of",Mayor's Office of Municipal Services Assessment,,,,,,,,Municipal Services Assessment unit,,OPS_000056,ops
Municipal Voting Advisory Group,,,,,,,,,,Municipal Voting Advisory Group,,OPS_000288,ops
Municipal Water Finance Authority,,,,,,,,,,Municipal Water Finance Authority,,OPS_000290,ops
MWBE Advisory Board,,,,,,,,,,MWBE Advisory Board,,OPS_000289,ops
NYC 311,NYC 311,,,,,,,,,,NYC 311,REC_000153,nyc_agencies_export
NYC & Company,,,,,,,,,,NYC & Company,,OPS_000121,ops
NYC Care,NYC Care,,,,,,,,NYC Care,,,REC_000154,nyc_agencies_export
New York City Children's Cabinet ,Children's Cabinet,,,,NYC Children's Cabinet,,NYC Children's Cabinet,NYC Children's Cabinet,Children's Cabinet,New York City Children's Cabinet ,Children's Cabinet,OPS_000088,ops
New York City Courts,"Courts, New York City",,,New York City Courts,,,,,,,,REC_000156,nyc_agencies_export
New York City Districting Commission,Districting Commission,,Districting Commission,,,,,,,New York City Districting Commission,,OPS_000214,ops
NYC Emergency Management,"Emergency Management, NYC",Office of Emergency Management,Department of Emergency Management,"Emergency Management, NYC",NYC Emergency Management,NYC Emergency Management (NYCEM),NYC Emergency Management,NYC Emergency Management,NYC Emergency Management (NYCEM),NYC Emergency Management,Department of Emergency Management,OPS_000120,ops
NYC Employee Retirement System,"Employees' Retirement System, New York City",New York City Employees' Retirement System,,"Employees Retirement System Board of Trustees, NYC",NYC Employee's Retirement System (NYCERS),,NYC Employees' Retirement System (NYCERS),NYC Employees' Retirement System (NYCERS),NYC Employees' Retirement System (NYCERS),NYC Employee Retirement System,Employees Retirement System,OPS_000408,ops
New York City Employees' Retirement System Pension Fund Board of Trustees,,,,,,,,,,New York City Employees' Retirement System Pension Fund Board of Trustees,,OPS_000297,ops
NYC Health + Hospitals,"Health + Hospitals, NYC",,Health and Hospitals Corporation,"Health + Hospitals NYC, (NYC H+H)",NYC Health + Hospital,,NYC Health + Hospitals,NYC Health + Hospitals,NYC Health + Hospitals (H+H),NYC Health + Hospitals,Health and Hospitals Corporation,OPS_000117,ops
New York City Housing Authority,"Housing Authority, New York City",,,"Housing Authority, NYC","Housing Authority, New York City (NYCHA)",New York City Housing Authority (NYCHA),"Housing Authority, New York City (NYCHA)","Housing Authority, New York City (NYCHA)",New York City Housing Authority (NYCHA),NYC Housing Authority,NYC Housing Authority,OPS_000122,ops
New York City Housing Authority Board,,,,,,,,,,New York City Housing Authority Board,,OPS_000298,ops
New York City Municipal Insurance Company,,,,,,,,,,New York City Municipal Insurance Company,,OPS_000301,ops
NYC Nonprofits,NYC Nonprofits,Mayor's Office of Nonprofits,,,,,,,Mayor's Office of Nonprofits (NYC NONPROFITS),,,REC_000162,nyc_agencies_export
NYC Office of the Special Narcotics Prosecutor,"Special Narcotics Prosecutor, Office of the",,,,,,,,,NYC Office of the Special Narcotics Prosecutor,,OPS_000136,ops
New York City Panel on Climate Change,,,,,,,,,,New York City Panel on Climate Change,,OPS_000293,ops
New York City Public Housing Preservation Trust,,,,,,,,,,New York City Public Housing Preservation Trust,,OPS_000299,ops
"New York City School Bus Umbrella Services, Inc.",,,,,,,,,,"New York City School Bus Umbrella Services, Inc.",,OPS_000302,ops
New York City School Support Services,,,,,,,,,,New York City School Support Services,,OPS_000303,ops
NYC Service,,,,,NYC Service,,,,,NYC Service,,OPS_000077,ops
NYC Tourism + Conventions,NYC Tourism + Conventions,,,,NYC Tourism + Conventions,,,,,New York City Tourism and Conventions (formerly known New York City & Company Board),,OPS_000304,ops
New York City Transit Riders Council,,,,,,,,,,New York City Transit Riders Council,,OPS_000306,ops
NYC Transitional Finance Authority,Transitional Finance Authority,,,"Transitional Finance Authority, NYC","Transitional Finance Authority, New York City (TFA)",,"Transitional Finance Authority, New York City (TFA)","Transitional Finance Authority, New York City (TFA)",,NYC Transitional Finance Authority,Transitional Finance Authority,OPS_000416,ops
New York City Watershed Protection and Partnership Council,,,,,,,,,,New York City Watershed Protection and Partnership Council,,OPS_000307,ops
New York Community Trust Distribution Committee,,,,,,,,,,New York Community Trust Distribution Committee,,OPS_000305,ops
New York County Public Administrator,,,,,,,,,,New York County Public Administrator,,OPS_000409,ops
New York Public Library,New York Public Library,,New York Public Library,New York Public Library,"Library, New York Public (NYPL)",New York Public Library (NYPL),"Library, New York Public (NYPL)","Library, New York Public (NYPL)",New York Public Library (NYPL),New York Public Library,New York Public Library,OPS_000311,ops
New York Research Libraries,New York Research Libraries,,New York Research Libraries,,,,,,,,,REC_000169,nyc_agencies_export
Nightlife Advisory Board,,,,,,,,,,Nightlife Advisory Board,,OPS_000292,ops
Nonprofit Advisory Council,,,,,,,,,,Nonprofit Advisory Council,,OPS_000291,ops
"Nonprofit Services, Mayor's Office of (MONS)",,,,,"Nonprofit Services, Mayor's Office of (MONS)",,,,,,,REC_000170,nyc_agencies_export
Nuclear Disarmament and Nuclear Weapons-Free Zone Advisory Committee,,,,,,,,,,Nuclear Disarmament and Nuclear Weapons-Free Zone Advisory Committee,,OPS_000294,ops
NYPD Domestic and Gender-Based Violence Training Committee,,,,,,,,,,NYPD Domestic and Gender-Based Violence Training Committee,,OPS_000309,ops
NYPD Pension Fund Board of Trustees,,,,,,,,,,NYPD Pension Fund Board of Trustees,,OPS_000310,ops
Office Conversions Task Force,,,,,,,,,,Office Conversions Task Force,,OPS_000312,ops
Office for Neighborhood Safety and the Prevention of Gun Violence,"Neighborhood Safety and the Prevention of Gun Violence, Office for",,,,,,,,,,,REC_000171,nyc_agencies_export
Office of the Actuary,"Actuary, New York City Office of the",Office of the Actuary,Office of the Actuary,"Actuary, Office of",,,"Actuary, NYC Office of the (NYCOA)","Actuary, NYC Office of the (NYCOA)",Office of the Actuary,Office of the Actuary,Office of the Actuary,OPS_000123,ops
Office of Administrative Justice Coordinator,"Administrative Justice Coordinator, Office of",,,,"Administrative Justice Coordinator, NYC Office of (AJC)",,"Administrative Justice Coordinator, NYC Office of  (AJC)","Administrative Justice Coordinator, NYC Office of  (AJC)",Office of the Administrative Justice Coordinator (AJC),Office of Administrative Justice Coordinator,Office of Administrative Justice Coordinator,OPS_000085,ops
Office of Administrative Tax Appeals,"Administrative Tax Appeals, Office of",Office of Administrative Tax Appeals,Office of Administrative Tax Appeals,"Tax Appeals, Office Of Administrative","Administrative Tax Appeals, Office of",,"Administrative Tax Appeals, Office of","Administrative Tax Appeals, Office of",Office of Administrative Tax Appeals (OATA),Office of Administrative Tax Appeals,Office of Administrative Tax Appeals,OPS_000125,ops
Office of Administrative Trials and Hearings,"Administrative Trials and Hearings, Office of",Office of Administrative Trial and Hearings,Office of Administrative Trials and Hearings,"Administrative Trials And Hearings, Office of","Administrative Trials and Hearings, Office of (OATH)",Office of Administrative Trials and Hearings (OATH),"Administrative Trials and Hearings, Office of (OATH)","Administrative Trials and Hearings, Office of (OATH)",Office of Administrative Trials and Hearings (OATH),Office of Administrative Trials and Hearings,Office of Administrative Trials and Hearings,OPS_000126,ops
Office of Advance,"Advance, Office of",,,,,,,,,,,REC_000173,nyc_agencies_export
Office of Asylum Seeker Operations,"Asylum Seeker Operations, Office of",,,,"Asylum Seeker Operations, Office of",,"Asylum Seeker Operations, Office of","Asylum Seeker Operations, Office of",NYC Office of Asylum Seeker Operations (OASO),Office of Asylum Seeker Operations,,OPS_000061,ops
Office of Building Energy and Emissions Performance,"Building Energy and Emissions Performance, Office of",,,,,,,,,,,REC_000175,nyc_agencies_export
Office of Capital Project Development,"Capital Project Development, Office of",,,,,,,,,Office of Capital Project Development,,OPS_000018,ops
Office of the Chief Counsel to the Mayor and City Hall,"Chief Counsel to the Mayor and City Hall, Office of the",Chief Counsel to the Mayor,,,,,"Counsel to the Mayor, Office of","Counsel to the Mayor, Office of",,,Counsel to the Mayor,REC_000176,nyc_agencies_export
Office of the Chief Medical Examiner,"Chief Medical Examiner, Office of the",Office of the Chief Medical Examiner,,"Medical Examiner, Office of Chief, Institute of Forensic Sciences",,Office of Chief Medical Examiner (OCME),"Chief Medical Examiner, NYC Office of (OCME)","Chief Medical Examiner, NYC Office of (OCME)",Office of Chief Medical Examiner (OCME),Office of the Chief Medical Examiner,Office of Chief Medical Examiner,OPS_000127,ops
Office of Childcare and Early Childhood Education,,,,,,,,,,Office of Childcare and Early Childhood Education,,OPS_000062,ops
Office of the City Clerk,"City Clerk, Office of the",,,,"City Clerk, Office of the (CLERK)",,,,,Office of the City Clerk,,OPS_000397,ops
Office of the City Sheriff,"City Sheriff, Office of the",,,,,,,,,,,REC_000177,nyc_agencies_export
Office of Climate Resiliency,"Climate Resiliency, Office of",,,,,,,,Office of Climate Resiliency (MOCR),,,REC_000179,nyc_agencies_export
Office of Collective Bargaining,"Collective Bargaining, Office of",Office of Collective Bargaining,Office of Collective Bargaining,"Collective Bargaining, Office of",,,,,Office of Collective Bargaining (OCB),,Office of Collective Bargaining,REC_000180,nyc_agencies_export
Office of Community Hiring,"Community Hiring, Office of",,,,"Community Hiring, Office of",,"Community Hiring, Office of","Community Hiring, Office of",,Office of Community Hiring,,OPS_000063,ops
Office of Community Mental Health,"Community Mental Health, Mayor's Office of",Mayor's Office of Community Mental Health,,,Mayor's Office of Community Mental Health,Mayor’s Office of Community Mental Health (OCMH),Mayor’s Office of Community Mental Health,Mayor’s Office of Community Mental Health,Mayor's Office of Community Mental Health (OCMH),Office of Community Mental Health,Office of Community Mental Health,OPS_000064,ops
Office of Crime Victim Services,"Crime Victim Services, Office of",,,,,,,,,,,REC_000184,nyc_agencies_export
Office of Data Analytics,"Data Analytics, Office of",,,,,,,,Office of Data Analytics (ODA),,Office of Data Analytics,REC_000185,nyc_agencies_export
Office of Diversity and Inclusion,"Diversity and Inclusion, Office of",,,,,,,,,,,REC_000186,nyc_agencies_export
Office of Emerging Markets,,,,,,,,,,Office of Emerging Markets,,OPS_000022,ops
Office of Engagement,"Engagement, Mayor's Office of",,,,,,,,Mayor's Office of Engagement,Office of Engagement,,OPS_000024,ops
Office of Environmental Coordination,"Environmental Coordination, Mayor's Office of",Mayor's Office of Environmental Coordination,,,,Mayor’s Office of Environmental Coordination (MOEC),"Environmental Coordination, Mayor’s Office of (MOEC)","Environmental Coordination, Mayor’s Office of (MOEC)",Office of Environmental Coordination (MOEC),Office of Environmental Coordination,Office of Environmental Coordination,OPS_000065,ops
Office of Environmental Remediation,"Environmental Remediation, Mayor's Office of",Mayor's Office of Environmental Remediation,,,Mayor's Office of Environmental Remediation (OER),Mayor’s Office of Environmental Remediation (OER),Mayor's Office of Environmental Remediation (OER),Mayor's Office of Environmental Remediation (OER),Office of Environmental Remediation (OER),Office of Environmental Remediation,Office of Environmental Remediation,OPS_000066,ops
Office of Faith-Based and Community Partnerships,"Faith-Based and Community Partnerships, Mayor's Office of",Mayor's Office of Faith-Based and Community Partnerships,,,,,,,Mayor's Office of Faith-Based and Community Partnerships (CFP),Office of Faith-Based and Community Partnerships,,OPS_000067,ops
"Office of Film, Theatre, & Broadcasting","Film, Theater & Broadcasting, Office of",,,,,"Office of Film, Theatre, and Broadcasting (FILM)",,,"Office of Film, Theater & Broadcasting","Office of Film, Theatre, & Broadcasting","Office of Film, Theater & Broadcasting",OPS_000114,ops
Office of Healthcare Accountability,"Healthcare Accountability, Office of",,,,,,,,,,,REC_000189,nyc_agencies_export
Office of Information Privacy,"Information Privacy, Office of",,,,,,,,,,,REC_000190,nyc_agencies_export
Office of Innovation and Delivery,"Innovation and Delivery, Office of",,,,,,,,,Office of Innovation & Delivery,Office of Innovation and Delivery,OPS_000068,ops
Office of the Inspector General for the NYPD,"Inspector General for the NYPD, Office of the",Office of the Inspector General for the NYPD,,,"Inspector General NYPD, Office of the",,"Inspector General NYPD, Office of the","Inspector General NYPD, Office of the",,Office of Inspector General NYPD,Office of the Inspector General for the NYPD,OPS_000128,ops
Office of Labor Relations,"Labor Relations, Office of",Office of Labor Relations,,"Labor Relations, Office of","Labor Relations, NYC Office of (OLR)",Office of Labor Relations (OLR),"Labor Relations, NYC Office of (OLR)","Labor Relations, NYC Office of (OLR)",Office of Labor Relations (OLR),Office of Labor Relations,Office of Labor Relations,OPS_000129,ops
Office of Labor Standards,"Labor Standards, Office of",,,,,,,,,,,REC_000191,nyc_agencies_export
Office of Long-Term Planning and Sustainability,"Long-Term Planning and Sustainability, Office of",,,,,,,,,,,REC_000192,nyc_agencies_export
Office of Management and Budget,"Management and Budget, Mayor's Office of",Office of Management and Budget,,"Management & Budget, Office of",,Mayor’s Office of Management & Budget (OMB),"Mayor's Office Of Management and Budget, Office of (OMB)","Mayor's Office Of Management and Budget, Office of (OMB)",Mayor's Office of Management and Budget (OMB),Office of Management and Budget,Office of Management and Budget,OPS_000130,ops
Office of Marine Debris Disposal and Vessel Surrendering,"Marine Debris Disposal and Vessel Surrendering, Office of",,,,,,,,,,,REC_000193,nyc_agencies_export
Office of Neighborhood Safety,"Neighborhood Safety, Office of",,,,,,,,,,,REC_000194,nyc_agencies_export
Office of Payroll Administration,"Payroll Administration, Office of",,,,"Payroll Administration, Office of (OPA)",,,,,Office of Payroll Administration,,OPS_000131,ops
Office of Payroll Administration Board,,,,,,,,,,Office of Payroll Administration Board,,OPS_000313,ops
Office of Recovery and Resiliency,"Recovery and Resiliency, Office of",,,,,,,,,,Office of Recovery & Resiliency,REC_000197,nyc_agencies_export
Office of Scheduling and Executive Operations,"Scheduling and Executive Operations, Office of",,,,,,,,,,,REC_000198,nyc_agencies_export
Office of Street Vendor Enforcement,"Street Vendor Enforcement, Office of",,,,,,,,,,,REC_000200,nyc_agencies_export
Office of Technology and Innovation,"Technology and Innovation, Office of",Office of Technology and Innovation,,Office of Technology & Innovation,"Office of Technology and Innovation, New York City",Office of Technology and Innovation (OTI),"Technology and Innovation, NYC Office of (OTI)","Technology and Innovation, NYC Office of (OTI)",Office of Technology and Innovation (OTI),Office of Technology and Innovation,Office of Technology and Innovation,OPS_000132,ops
Office of the Tenant Advocate,"Tenant Advocate, Office of the",,,,,,,,,,,REC_000202,nyc_agencies_export
Office of Workforce Development,"Workforce Development, Office of",Mayor's Office of Talent and Workforce Development,,,,,"Talent and Workforce Development, Mayor’s Office of","Talent and Workforce Development, Mayor’s Office of",Mayor’s Office of Talent and Workforce Development (WKDEV),,Office of Workforce Development,REC_000204,nyc_agencies_export
Office for Prevention of Hate Crimes,"Prevention of Hate Crimes, Mayor's Office for the",Mayor's Office for the Prevention of Hate Crimes,,,,,"Prevention of Hate Crimes, Office for (OPHC)","Prevention of Hate Crimes, Office for (OPHC)",Office for the Prevention of Hate Crimes,Office for Prevention of Hate Crimes,Office for the Prevention of Hate Crimes,OPS_000069,ops
Opioid Settlement Fund Advisory Board,,,,,,,,,,Opioid Settlement Fund Advisory Board,,OPS_000314,ops
Panel on Educational Policy,,,,,,,,,,Panel on Educational Policy,,OPS_000317,ops
Pay Equity Cabinet,Pay Equity Cabinet,,,,,,,,Pay Equity Cabinet (PEC),Pay Equity Cabinet,,OPS_000073,ops
Police Department,Police Department,Police Department,Police Department,Police Department,"Police Department, New York City (NYPD)",Police Department (NYPD),"Police Department, New York City (NYPD)","Police Department, New York City (NYPD)",New York City Police Department (NYPD),Police Department,Police Department,OPS_000124,ops
Police Pension Fund,"Police Pension Fund, New York City",NYC Police Pension Fund,,Police Pension Fund,Police Pension Fund (PPF),,Police Pension Fund (PPF),Police Pension Fund (PPF),Police Pension Fund (NYCPPF),Police Pension Fund,Police Pension Fund,OPS_000410,ops
"Prevention of Hate Crimes, Office for (OPHC)",,,,,"Prevention of Hate Crimes, Office for (OPHC)",,,,,,,REC_000210,nyc_agencies_export
Primary Care Development Corporation,,,,,,,,,,Primary Care Development Corporation,,OPS_000315,ops
Procurement Policy Board,Procurement Policy Board,,,,Procurement Policy Board (PPB),,Procurement Policy Board (PPB),Procurement Policy Board (PPB),,Procurement Policy Board,Procurement Policy Board,OPS_000318,ops
Property Tax Debt Resolution Task Force,,,,,,,,,,Property Tax Debt Resolution Task Force,,OPS_000322,ops
Prospect Park Alliance ,,,,,,,,,,Prospect Park Alliance ,,OPS_000320,ops
Public Administrator - Bronx County,,,,,Public Administrator - Bronx County (BCPA),,,,,Public Administrator - Bronx County,,OPS_000389,ops
Public Administrator - Kings County (KCPA),,,,,Public Administrator - Kings County (KCPA),,,,,,,REC_000214,nyc_agencies_export
Public Administrator - New York County (NYCountyPA),,,,,Public Administrator - New York County (NYCountyPA),,,,,,,REC_000215,nyc_agencies_export
Public Administrator - Queens County (QPA),,,,,Public Administrator - Queens County (QPA),,,,,,,REC_000216,nyc_agencies_export
Public Administrator - Richmond County (RCPA),,,,,Public Administrator - Richmond County (RCPA),,,,,,,REC_000217,nyc_agencies_export
Public Advocate,"Public Advocate, Office of the",Office of the Public Advocate,Public Advocate,Public Advocate for the City of New York,Public Advocate (PUB ADV),,Public Advocate (PUB ADV),Public Advocate (PUB ADV),Office of the Public Advocate,Public Advocate,Public Advocate,OPS_000411,ops
Public Design Commission,Public Design Commission,Public Design Commission,,,Public Design Commission,Public Design Commission (PDC),Public Design Commission,Public Design Commission,Public Design Commission (PDC),Public Design Commission,Public Design Commission,OPS_000316,ops
Public Online Capital Projects Database Task Force,,,,,,,,,,Public Online Capital Projects Database Task Force,,OPS_000180,ops
Public Realm,,,,,,,,,,Public Realm,,OPS_000076,ops
"Public Realm Improvement Fund Governing Group, Inc.",,,,,,,,,,"Public Realm Improvement Fund Governing Group, Inc.",,OPS_000319,ops
"Public Schools,New York City",,,,,"Public Schools,New York City",,,,,,,REC_000218,nyc_agencies_export
Queens County Public Administrator,,,,,,,,,,Queens County Public Administrator,,OPS_000412,ops
Queens Public Library,Queens Public Library,,Queens Borough Public Library,Queens Public Library,"Library, Queens Public (QL)",Queens Library (QBPL),"Library, Queens Public (QL)","Library, Queens Public (QL)",Queens Library (QPL),Queens Public Library; Queens Borough Public Library Board of Trustees,Queens Public Library,OPS_000413,ops
Racial Justice Charter Revision Commission,,,,,,,,,,Racial Justice Charter Revision Commission,,OPS_000335,ops
Racial Justice Commission,,,,,,,,,,Racial Justice Commission,,OPS_000334,ops
Randall's Island Park Alliance ,,,,,,,,,,Randall's Island Park Alliance ,,OPS_000328,ops
Real Estate Advisory Board,,,,,,,,,,Real Estate Advisory Board,,OPS_000329,ops
"Records and Information Services, Department of (DORIS)",,,,,"Records and Information Services, Department of (DORIS)",,,,,,,REC_000219,nyc_agencies_export
In Rem Foreclosure Board,,,,,,,,,,In Rem Foreclosure Board,,OPS_000255,ops
Rent Guidelines Board,Rent Guidelines Board,Rent Guidelines Board,,Rent Guidelines Board,Rent Guidelines Board (RGB),,Rent Guidelines Board (RGB),Rent Guidelines Board (RGB),Rent Guidelines Board (RGB),Rent Guidelines Board,Rent Guidelines Board,OPS_000330,ops
Rental Horse Advisory Board,Mental Hygiene Advisory Board,,,,,,,,,Rental Horse Advisory Board,,OPS_000331,ops
Residential Mortgage Insurance Corporation ,,,,,,,,,,Residential Mortgage Insurance Corporation ,,OPS_000336,ops
Retirement Savings Board,,,,,,,,,,Retirement Savings Board,,OPS_000337,ops
Richmond County Public Administrator,,,,,,,,,,Richmond County Public Administrator,,OPS_000414,ops
Rikers Island Advisory Committee,,,,,,,,,,Rikers Island Advisory Committee,,OPS_000332,ops
Roosevelt Island Operating Corporation,,,,,,,,,,Roosevelt Island Operating Corporation,,OPS_000333,ops
Sales Tax Asset Receivable Corporation,Sales Tax Asset Receivable Corporation,,,,Sales Tax Asset Receivable Corporation (STAR),,Sales Tax Asset Receivable Corporation (STAR),Sales Tax Asset Receivable Corporation (STAR),,Sales Tax Asset Receivable Corporation,,OPS_000415,ops
School Construction Authority,School Construction Authority,,SCHOOL CONSTRUCTION AUTHORITY,"School Construction Authority, NYC",School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority,School Construction Authority,OPS_000134,ops
School Construction Authority- Board of Trustees,,,,,,,,,,School Construction Authority- Board of Trustees,,OPS_000343,ops
Senior Advisory Council,,,,,,,,,,Senior Advisory Council,,OPS_000340,ops
Sexual Health Education Task Force,,,,,,,,,,Sexual Health Education Task Force,,OPS_000345,ops
Shelter Accessibility Advisory Board,,,,,,,,,,Shelter Accessibility Advisory Board,,OPS_000338,ops
Sheriff,,,,,NYC Sheriff,,,,,Sheriff,,OPS_000135,ops
Site Safety Training Task Force,,,,,,,,,,Site Safety Training Task Force,,OPS_000353,ops
Small Business Advisory Commission,,,,,,,,,,Small Business Advisory Commission,,OPS_000342,ops
Soil and Water Conservation District ,,,,,,,,,,Soil and Water Conservation District ,,OPS_000355,ops
Special Commissioner of Investigation for the New York City School District,"New York City School District, Special Commissioner of Investigation for the",,,,Special Commissioner of Investigation for the New York City School District,,,,,Special Commissioner of Investigation for the NYC School District,,OPS_000344,ops
"Special Narcotics Prosecutor, NYC Office of the (SNP)",,,,,"Special Narcotics Prosecutor, NYC Office of the (SNP)",,,,,,,REC_000223,nyc_agencies_export
"Sports, Wellness, & Recreation Advisory Board",,,,,,,,,,"Sports, Wellness, & Recreation Advisory Board",,OPS_000356,ops
"Sports, Wellness and Recreation, Mayor's Office of (MOSWR)","Sports, Wellness, and Recreation, Mayor's Office of","Mayor's Office of Sports, Wellness, and Recreation",,,"Sports, Wellness and Recreation, Mayor's Office of (MOSWR)",,"Sports, Wellness and Recreation, Mayor's Office of (MOSWR)","Sports, Wellness and Recreation, Mayor's Office of (MOSWR)","Mayor's Office of Sports, Wellness, and Recreation (MOSWR)",,"Office of Sports, Wellness and Recreation",REC_000224,nyc_agencies_export
State Fire Prevention and Building Code Council,,,,,,,,,,State Fire Prevention and Building Code Council,,OPS_000346,ops
Street Harassment Prevention Advisory Board,,,,,,,,,,Street Harassment Prevention Advisory Board,,OPS_000347,ops
Street Vendor Advisory Board,,,,,,,,,,Street Vendor Advisory Board,,OPS_000354,ops
Sustainability Advisory Board (Formerly OneNYC),,,,,,,,,,Sustainability Advisory Board (Formerly OneNYC),,OPS_000339,ops
Task Force on African American Civil Rights History Museum ,,,,,,,,,,Task Force on African American Civil Rights History Museum ,,OPS_000139,ops
"Task Force on Monuments, Statues, Public Art and Historical Markers",,,,,,,,,,"Task Force on Monuments, Statues, Public Art and Historical Markers",,OPS_000278,ops
Taskforce on Racial Inclusion and Equity,"Racial Inclusion and Equity, Taskforce on",,,,,,,,Taskforce on Racial Inclusion & Equity (TRIE),,,REC_000227,nyc_agencies_export
Tax Appeals Tribunal,Tax Appeals Tribunal,,,,"Tax Appeals Tribunal, New York City (TAT)",,"Tax Appeals Tribunal, New York City (TAT)","Tax Appeals Tribunal, New York City (TAT)",Tax Appeals Tribunal (NYC TAT),Tax Appeals Tribunal,Tax Appeals Tribunal,OPS_000357,ops
Tax Commission,Tax Commission,,,,"Tax Commission, New York City (TC)",New York City Tax Commission (TAXCOMM),"Tax Commission, New York City (TC)","Tax Commission, New York City (TC)",New York City Tax Commission (TAXCOMM),Tax Commission,New York City Tax Commission,OPS_000358,ops
Taxi and Limousine Commission,Taxi and Limousine Commission,Taxi and Limousine Commission,NYC Taxi and Limousine Commission,Taxi & Limousine Commission,Taxi and Limousine Commission (TLC),Taxi and Limousine Commission (TLC),Taxi and Limousine Commission (TLC),Taxi and Limousine Commission (TLC),Taxi and Limousine Commission (TLC),Taxi & Limousine Commission,Taxi & Limousine Commission,OPS_000137,ops
Teacher's Retirement System,Teacher's Retirement System,Teacher's Retirement System,,Teachers' Retirement System,,,Teachers' Retirement System of the City of New York,Teachers' Retirement System of the City of New York,Teacher's Retirement System of the City of New York (TRS),,Teachers' Retirement System,REC_000230,nyc_agencies_export
