Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
Department of Correction,"Correction, Department of",Active,Mayoral Agency,"The Department of Correction operates ten jails on Rikers Island and additional facilities and court pens throughout the city.  It houses an average daily population of approximately 12,500 inmates.",http://www.nyc.gov/doc,Mayor's Office,Deputy Mayor for Public Safety,New York City Charter,"Chapter 25, Section 623",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2201,There shall be a department of correction the head of which shall be the commissioner of correction.,,,DOC,,72.0,Lynelle Maginley-Liddie,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Correction+%28DOC%29,,1895.0,,department-of-correction,2024-07-29,,,"Correction, Department of (DOC)","Correction, Department of (DOC)",Department of Correction (DOC),Department of Correction (DOC),Department of Correction,Department of Correction,"Correction, Department of",Department of Correction,Department of Correction (DOC),"Correction, Department of (DOC)",Lynelle,Maginley-Liddie,correction department,REC_000048,REC_000043,Commissioner ,https://www.nyc.gov/site/doc/index.page,"Correction, Department of (DOC)",REC_000096,Department of Correction,ops
Office of Correspondence,"Correspondence, Office of",Active,Mayoral Office,,,Mayor's Office,Mayor's Office Chief of Staff,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,,,office-of-correspondence,2024-07-29,,,,,,,,,,,Office of Correspondence,"Correspondence, Office of",,,correspondence office,REC_000253,,,,,REC_000070,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,council airport opportunity board directors,,,,,,REC_000178,Council for Airport Opportunity Board of Directors,ops
New York City Courts,"Courts, New York City",Active,Judiciary,,https://www.nycourts.gov/,,,New York State,,,,,,,,,,,,,1962.0,,new-york-city-courts,2024-07-29,,,,,,,,,New York City Courts,,New York City Courts,"Courts, New York City",,,courts,REC_000160,,,,,REC_000071,,nyc_agencies_export
Office of Creative Communications,"Creative Communications, Office of",Active,Mayoral Office,,,Mayor's Office,Deputy Mayor for Communications,Press Release,"August 14, 2023 Press Release",https://www.nyc.gov/office-of-the-mayor/news/593-23/mayor-adams-appoints-fabien-levy-deputy-mayor-communications#/0,"Reporting to Deputy Mayor Levy will be City Hall’s communications director, press secretary, director of the office of community and ethnic media, research director, and senior advisor for creative communications. Levy will also work closely with communications and press staff across all of city government.",,,,,,,,,,2019.0,,office-of-creative-communications,2024-07-29,,,,,,,,,,,Office of Creative Communications,"Creative Communications, Office of",,,creative office communications,REC_000259,,,,,REC_000072,,nyc_agencies_export
Office of Crime Victim Services,"Crime Victim Services, Office of",Active,Division,,https://criminaljustice.cityofnewyork.us/programs/ocvs/,Mayor's Office of Criminal Justice,Mayor's Office of Criminal Justice,New York City Charter,"Chapter 1, Section 13-d",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-108,"The mayor shall establish an office of crime victim services. Such office may, but need not, be established in the executive office of the mayor, or may be established as a separate office within any other office of the mayor, or within any department, the head of which is appointed by the mayor. Such office shall be headed by a coordinator who shall be appointed by the mayor or the head of such department.",,,,,,,,,,2017.0,,office-of-crime-victim-services,2024-07-29,,,,,,,,,,,Office of Crime Victim Services,"Crime Victim Services, Office of",,,crime office victim services,REC_000192,,,,,REC_000073,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,criminal justice mayor,,REC_000045,Director,https://criminaljustice.cityofnewyork.us/,"Criminal Justice, Mayor's Office of",REC_000074,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cultural affairs advisory commission,,,,,,REC_000173,Cultural Affairs Advisory Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cultural affairs department,,REC_000046,Commissioner,https://www.nyc.gov/site/dcla/index.page,"Cultural Affairs, Department of (DCLA)",REC_000075,,nyc_gov
Department of Cultural Affairs,"Cultural Affairs, Department of",Active,Mayoral Agency,"The Department of Cultural Affairs (DCLA) ensures that cultural activities are an integral part of New York City’s civic and economic life by providing support, advocacy and technical assistance for the City’s cultural community. DCLA’s constituency consists of the 34 City-owned cultural institutions comprising the Cultural Institutions Group (CIG) and more than 1,500 other not-for-profit organizations serving constituencies in all neighborhoods of the City. DCLA also provides donated materials for arts programs offered by the public schools and cultural and social service groups, and commissions works of public art at Cityfunded construction projects throughout the City.",http://www.nyc.gov/culture,Mayor's Office,"Deputy Mayor for Housing, Economic Development and Workforce",New York City Charter,"Chapter 67, Section 2503",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3974,"There shall be a department of cultural affairs, the head of which shall be the commissioner of cultural affairs.",,,DCLA,,126.0,Laurie Cumbo,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Cultural+Affairs+%28DCLA%29,,1962.0,,department-of-cultural-affairs,2024-07-29,,,"Cultural Affairs, Department of (DCLA)","Cultural Affairs, Department of (DCLA)",Department of Cultural Affairs (DCLA),Department of Cultural Affairs (DCLA),Department of Cultural Affairs,Department of Cultural Affairs,Cultural Affairs,Department of Cultural Affairs,Department of Cultural Affairs (DCLA),"Cultural Affairs, Department of (DCLA)",Laurie,Cumbo,cultural department affairs,REC_000049,,,,,REC_000089,Department of Cultural Affairs,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cultural institutions retirement system board trustees,,,,,,REC_000195,Cultural Institutions Retirement System Board of Trustees,ops
Cyber Command,Cyber Command,Active,Division,,https://www.nyc.gov/content/oti/pages/meet-the-team/cyber-command,Office of Technology and Innovation,Office of Technology and Innovation,New York City Charter,"Chapter 1, Section 20-j",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5726,The mayor shall establish an office of cyber command. Such office may be established in the executive office of the mayor or as a separate office or within any department the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or the head of such department and who shall serve as the chief information security officer of the city.,,,NYC3,,,,,,"NYC Cyber Command was integrated into the Office of Technology and Innovation (OTI) in November 2021 through Executive Order No. 3. This integration was part of a broader initiative to streamline and enhance the city's technology and innovation efforts by merging several technology-focused entities, including the NYC Office of Data Analytics (ODA), the Mayor's Office of the Chief Technology Officer (MOCTO), the Mayor's Office of Information Privacy (MOIP), and NYC 311. While the Department of Information Technology and Telecommunications (DoITT) continues to exist solely for legal contract purposes, its operational functions, including those of NYC Cyber Command, have been incorporated into OTI. This consolidation aims to create a unified approach to technology deployment and innovation, improving service efficiency and coordination across NYC government agencies.",2017.0,,cyber-command,2024-07-29,,,,,,NYC Cyber Command (NYC3),,NYC Cyber Command,,,Cyber Command (NYC3),Cyber Command (NYC3),,,cyber command,REC_000172,,,,,REC_000076,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dangerous dog advisory board,,,,,,REC_000214,Dangerous Dog Advisory Board,ops
Office of Data Analytics,"Data Analytics, Office of",Active,Division,,https://www.nyc.gov/content/oti/pages/data-analytics,Office of Technology and Innovation,Office of Technology and Innovation,New York City Charter,"Chapter 1, Section 20-f",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5025,"The mayor shall establish an office of data analytics. Such office may be established in the executive office of the mayor and may be established as a separate office or within any other office of the mayor or within any department the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or head of such department and who shall serve as the city's chief analytics officer and chief open platform officer, as defined in the open data policy and technical standards manual.",,Mayor's Office of Data Analytics,ODA,MODA,,,,,"The NYC Office of Data Analytics (ODA) was integrated into the Office of Technology and Innovation (OTI) in November 2021 through Executive Order No. 3. This integration was part of a broader initiative to streamline and enhance the city's technology and innovation efforts by merging several technology-focused entities, including NYC Cyber Command, the Mayor's Office of the Chief Technology Officer (MOCTO), the Mayor's Office of Information Privacy (MOIP), and NYC 311. While the Department of Information Technology and Telecommunications (DoITT) continues to exist solely for legal contract purposes, its operational functions, including those of the ODA, have been incorporated into OTI. This consolidation aims to create a unified approach to technology deployment and innovation, improving service efficiency and coordination across NYC government agencies.",2013.0,,office-of-data-analytics,2024-07-29,,,,,,Office of Data Analytics (ODA),,Office of Data Analytics,,,Office of Data Analytics (ODA),"Data Analytics, Office of (ODA)",,,data office analytics,REC_000193,,,,,REC_000077,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deferred compensation board,,,,,,REC_000213,Deferred Compensation Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department aging,,,,,,REC_000094,Department for the Aging,ops
Department for the Aging,"Aging, Department for the",Active,Mayoral Agency,"NYC Aging funds community-based organizations throughout the five boroughs to provided essential services for seniors, including hot meals and activities at senior centers, home-delivered meals, case management, home care, transportation, legal services and caregiver services.    ",http://www.nyc.gov/aging,Mayor's Office,Deputy Mayor for Health and Human Services,New York City Charter,"Chapter 66, Section 2400",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3953,"There shall be a department for the aging, the head of which shall be the commissioner for the aging.",,,NYC AGING,DFTA,125.0,Lorraine A. Cortés-Vázquez,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+for+the+Aging+%28NYC Aging%29,,1973.0,,department-for-the-aging,2024-07-29,,,"Aging, Department for the (NYC Aging)","Aging, Department for the (NYC Aging)",Department for the Aging (NYC Aging),Department for the Aging (DFTA),Department for the Aging,Department for the Aging,"Aging, Department for the",Department for the Aging,Department for the Aging (NYC AGING),"Aging, Department for the (NYC AGING)",Lorraine,Cortés-Vázquez,department for the aging,REC_000043,,,,,REC_000078,,nyc_agencies_export
Deputy Chief Administrative Judge for the New York City Courts,Deputy Chief Administrative Judge for the New York City Courts,Active,Judiciary,,,,,New York State,,,,,,,,,,,,,2021.0,,deputy-chief-administrative-judge-for-the-new-york-city-courts,2024-07-29,,,,,,,,,Deputy Chief Administrative Judge for the New York City Courts,,Deputy Chief Administrative Judge for the New York City Courts,Deputy Chief Administrative Judge for the New York City Courts,,,deputy chief administrative judge for the courts,REC_000068,,,,,REC_000079,,nyc_agencies_export
Deputy Mayor for Communications,"Communications, Deputy Mayor for",Active,Mayoral Office,,,Mayor's Office,Mayor's Office,Mayoral Executive Order,"Executive Order 5, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hx70d?locale=en,"Establishes the titles, duties, and responsibilities of the six Deputy Mayors, the Chief of Staff to the Mayor, and the Chief Counsel to the mayor and City Hall. Revokes Executive Order No. 56, dated March 21, 2021.",,,,,,,,,,,,deputy-mayor-for-communications,2024-07-29,,,,,,,,,,,Deputy Mayor for Communications,"Communications, Deputy Mayor for",,,deputy mayor for communications,REC_000215,,,,,REC_000080,,nyc_agencies_export
Deputy Mayor for Health and Human Services,"Health and Human Services, Deputy Mayor for",Active,Mayoral Office,,,Mayor's Office,First Deputy Mayor,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,DMHHS,,,,Deputy Mayor for Health and Human Services,,,2022.0,,deputy-mayor-for-health-and-human-services,2024-07-29,,,,Office of the Deputy Mayor for Health and Human Services,,Deputy Mayor for Health and Human Services (DMHHS),Deputy Mayor for Health and Human Services,,,,Deputy Mayor for Health and Human Services (DMHHS),"Health and Human Services, Deputy Mayor for (DMHHS)",,,deputy mayor for health and human services,REC_000070,,,,,REC_000081,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,design department construction,,,,,,REC_000092,Department of Design and Construction,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disconnected youth task force,,,,,,REC_000217,Disconnected Youth Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,district attorney bronx county,,REC_000050,District Attorney,https://www.bronxda.nyc.gov/html/home/home.shtml,District Attorney- Bronx County,REC_000397,District Attorney Bronx County,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,district attorney kings county,,REC_000051,District Attorney,http://www.brooklynda.org/,District Attorney- Kings County (Brooklyn),REC_000396,District Attorney Kings County (Brooklyn),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,district attorney new york county,,REC_000052,District Attorney,https://manhattanda.org/,District Attorney- New York County (Manhattan),REC_000398,District Attorney New York County (Manhattan),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,district attorney queens county,,REC_000053,District Attorney,https://queensda.org/,District Attorney- Queens County,REC_000399,District Attorney Queens County,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,district attorney richmond county,,REC_000054,District Attorney,https://www.statenislandda.org/,District Attorney- Richmond County (Staten Island),REC_000400,District Attorney Richmond County (Staten Island),ops
Districting Commission,Districting Commission,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/site/districting/index.page,,Independent,New York City Charter,"Chapter 2-A, Section 50",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-434,There shall be a districting commission consisting of fifteen members appointed as provided in this section.,,,,,,,,,,,,districting-commission,2024-07-29,,,,,,,,,,Districting Commission,Districting Commission,Districting Commission,,,districting commission,REC_000075,,,,,REC_000212,New York City Districting Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic violence fatality review committee,,,,,,REC_000216,Domestic Violence Fatality Review Committee,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drug strategy advisory council,,,,,,REC_000215,Drug Strategy Advisory Council,ops
Economic Development Corporation,Economic Development Corporation,Active,Authority or Public Benefit Corporation,"The New York City Economic Development Corporation (NYCEDC), a nonprofit organization operating under contract with the City of New York, is the City’s primary vehicle for economic development services. NYCEDC serves as a catalyst for public and private initiatives that promote the City’s long-term vitality. Through affordable financing, tax exemptions and low-cost energy programs, NYCEDC helps City businesses gain the competitive edge they need to meet their short- and long-term goals.",http://www.nycedc.com,,"Deputy Mayor for Housing, Economic Development and Workforce",New York State Law,,,,,,NYCEDC,,,Andrew Kimball,President and CEO,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Economic+Development+Corporation+%28EDC%29,,1991.0,,economic-development-corporation,2024-07-29,,,Economic Development Corporation (NYCEDC),Economic Development Corporation (NYCEDC),Economic Development Corporation (EDC),Economic Development Corporation (EDC),,Economic Development Corporation,"Economic Development Corporation, NYC",,Economic Development Corporation (NYCEDC),Economic Development Corporation (NYCEDC),Andrew,Kimball,economic development corporation,REC_000077,REC_000055,President and CEO,https://edc.nyc/,Economic Development Corporation (NYCEDC),REC_000111,Economic Development Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economic development corporation board trustees,,,,,,REC_000220,Economic Development Corporation Board of Trustees,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economic development corporation life sciences advisory council,,,,,,REC_000221,Economic Development Corporation Life Sciences Advisory Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economic development corporation real estate life sciences advisory board,,,,,,REC_000222,Economic Development Corporation Real Estate Life Sciences Advisory Board,ops
Department of Education,"Education, Department of",Active,Mayoral Agency,"The New York City Department of Education is the largest system of public schools in the United States, serving about 1.1 million students in over 1,700 schools.",http://schools.nyc.gov/,Mayor's Office,Mayor's Office,New York State Law,"Article 52-A, Section 2590-B",https://www.nysenate.gov/legislation/laws/EDN/2590-B,"Continuation of city board and establishment of community districts; establishment of the city-wide councils on special education, English language learners, high schools, and district seventy-five. 1. (a) The board of education of the city school district of the city of New York is hereby continued.",,,DOE,,40.0,David Banks,Chancellor,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Education+%28DOE%29,"While Education Law section 2590-a defines “chancellor” as the “chancellor of the city district,” this phrase would be used primarily outside the sections of the Administrative Code or Charter that are dedicated to education. Therefore, adding in the word “school” will ensure better understanding.

Education Law section 2590-b refers to the “city board of education,” but in its bylaws the board refers to itself as the “Panel for Educational Policy.” The board’s bylaws further indicate that the Panel for Educational Policy, the Chancellor and various other officers and school employees together constitute the Department of Education. See Nacipucha v. City of New York, 18 Misc. 3d 846, 849-54 (Sup. Ct. Bronx Cnty. 2008) (describing structure of Department of Education).

The Department of Education (DOE) in New York City has undergone several name changes throughout its history. Originally established as the Board of Education in the 19th century, the entity was responsible for overseeing public education in the city. In 2002, under Mayor Michael Bloomberg's administration, significant reforms were implemented, leading to the dissolution of the Board of Education. The department was rebranded as the Department of Education (DOE) to reflect its modernized structure and the shift towards greater mayoral control over the city's public schools. This evolution marks the ongoing efforts to improve educational governance and accountability in New York City.",1847.0,,department-of-education,2024-07-29,,,"Education, Department of (DOE)","Education, Department of (DOE)",Department of Education (DOE),Department of Education (DOE),,Department of Education,Education,Department of Education,Department of Education (DOE),"Education, Department of (DOE)",David,Banks,education department,REC_000051,REC_000056,Chancellor,https://www.schools.nyc.gov/,"Education, Department of (DOE)",REC_000097,Department of Education,ops
Educational Construction Fund,Educational Construction Fund,Active,Authority or Public Benefit Corporation,,,,,New York State Law,,,,,,,,,,,,,1966.0,,educational-construction-fund,2024-07-29,,,,,,,,Educational Construction Fund,Educational Construction Fund,,Educational Construction Fund,Educational Construction Fund,,,educational construction fund,REC_000078,,,,,REC_000219,Educational Construction Fund,ops
NYC Emergency Management,"Emergency Management, NYC",Active,Mayoral Agency,"NYC OEM plans and prepares for emergencies, educates the public about preparedness, coordinates emergency response and recovery, and collects and disseminates emergency information.",http://www.nyc.gov/oem,Mayor's Office,Deputy Mayor for Public Safety,New York City Charter,"Chapter 19-A, Section 495",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1787,"There shall be an emergency management department, which may also be known as the New York city office of emergency management, the head of which shall be the commissioner of emergency management. The commissioner shall be appointed by the mayor. The commissioner shall also serve as the local director of civil defense, with the powers of a local director of civil defense.",New York City Office of Emergency Management,Emergency Management Department; New York City Office of Emergency Management,NYCEM,OEM,17.0,Zachary Iscol,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=NYC+Emergency+Management+%28NYCEM%29,Rebranded to NYC Emergency Management,1996.0,,nyc-emergency-management,2024-07-29,,,NYC Emergency Management,NYC Emergency Management,NYC Emergency Management (NYCEM),NYC Emergency Management (NYCEM),Office of Emergency Management,Department of Emergency Management,"Emergency Management, NYC",Department of Emergency Management,NYC Emergency Management (NYCEM),"Emergency Management, NYC (NYCEM)",Zachary,Iscol,emergency management,REC_000173,REC_000126,Commissioner,https://www.nyc.gov/site/em/index.page,NYC Emergency Management,REC_000119,NYC Emergency Management,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,employee retirement system,,REC_000127,Executive Director,https://www.nycers.org/,NYC Employee's Retirement System (NYCERS),REC_000403,NYC Employee Retirement System,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,employees retirement system pension fund board trustees,,,,,,REC_000293,New York City Employees' Retirement System Pension Fund Board of Trustees,ops
New York City Employees' Retirement System,"Employees' Retirement System, New York City",Active,Fiduciary Fund,"Founded in 1920, NYCERS has grown into the largest public retirement system within New York City serving over 330,000 active members and retirees. Membership in NYCERS is available to all New York City employees who are not eligible to participate in the New York City Teachers' Retirement System, the New York City Police Pension Fund, the New York City Fire Department Pension Fund or the New York City Board of Education Retirement System.",https://www.nycers.org/,,,New York City Administrative Code,"Title 13, Chapter 1, Section 13-103",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-216122,"The New York City Employees' Retirement System as established on the first day of October, nineteen hundred twenty, shall be continued.",,,NYCERS,,,Melanie Whinnery,Executive Director,,,1920.0,,new-york-city-employees-retirement-system,2024-07-29,,,NYC Employees' Retirement System (NYCERS),NYC Employees' Retirement System (NYCERS),,NYC Employees' Retirement System (NYCERS),New York City Employees' Retirement System,Employees Retirement System,"Employees Retirement System Board of Trustees, NYC",,New York City Employees' Retirement System (NYCERS),"Employees' Retirement System, New York City (NYCERS)",Melanie,Whinnery,employees' retirement system,REC_000161,,,,,REC_000093,,nyc_agencies_export
Environmental Control Board,Environmental Control Board,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/site/oath/hearings/about-ecb.page,Office of Administrative Trials and Hearings,Office of Administrative Trials and Hearings,New York City Charter,"Chapter 45-A, Section 1049-a",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6838,"There shall be in the office of administrative trials and hearings an environmental control board consisting of the commissioner of environmental protection, the commissioner of sanitation, the commissioner of buildings, the commissioner of health and mental hygiene, the police commissioner, the fire commissioner and the chief administrative law judge of the office of administrative trials and hearings, who shall be chair, all of whom shall serve on the board without compensation and all of whom shall have the power to exercise or delegate any of their functions, powers and duties as members of the board, and six persons to be appointed by the mayor, with the advice and consent of the city council, who are not otherwise employed by the city, one to be possessed of a broad general background and experience in the field of air pollution control, one with such background and experience in the field of water pollution control, one with such background and experience in the field of noise pollution control, one with such background and experience in the real estate field, one with such background and experience in the business community, and one member of the public, and who shall serve for four-year terms. Such members shall be compensated at a rate that may be specified by the chair and approved by the mayor. Within the board's appropriation, the chair may appoint an executive director, subject to the approval of the board, and such hearing officers, including non-salaried hearing officers, and other employees as the chair may from time to time find necessary for the proper performance of the board's duties. The board shall be convened by the chairperson or in his or her absence a deputy commissioner of the office of administrative trials and hearings or at the request of any three members thereof. Five members of the board, at least two of whom shall not be city officials, shall constitute a quorum.",,,ECB,,,,,,,2008.0,,environmental-control-board,2024-07-29,,,,,,Environmental Control Board (ECB),,,,,Environmental Control Board (ECB),Environmental Control Board (ECB),,,environmental control board,REC_000079,,,,,REC_000218,Environmental Control Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,environmental justice advisory board,,,,,,REC_000224,Environmental Justice Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,environmentally preferable purchasing use disposal textiles task force,,,,,,REC_000356,"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",ops
Equal Employment Practices Commission,Equal Employment Practices Commission,Active,"Advisory, Oversight, or Regulatory Body","This Commission is an independent City agency composed of a Chair and four other members, all appointed for staggered four year terms. The Commission is responsible for monitoring the equal employment programs, practices, policies, and procedures of all local government agencies that are funded in whole or in part by the City, or have a majority of board members who are appointed by the Mayor, or serve by virtue of being City officers.",http://www.nyc.gov/eepc,,Mayor's Office,New York City Charter,"Chapter 36, Section 830",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2576,"There shall be an equal employment practices commission which shall review, evaluate and monitor the employment procedures, practices and programs of any city agency and the department of citywide administrative services to maintain an effective affirmative employment program of equal employment opportunity for minority group members and women who are employed by or who seek employment with city agencies. b.   The commission shall consist of five members who, shall be compensated on a per diem basis. The mayor and the council shall each appoint two members. In addition, the mayor and the speaker of the council shall appoint a fifth member to serve as the chair of the commission for a term of four years.",,Equal Employment Opportunity,EEPC,,133.0,Jeanne M. Victor,Executive Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Equal+Employment+Practices+Commission+%28EEPC%29,,1989.0,,equal-employment-practices-commission,2024-07-29,,,Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission,Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission (EEPC),Jeanne,Victor,equal employment practices commission,REC_000080,REC_000060,Executive Director,https://www.nyc.gov/site/eepc/index.page,Equal Employment Practices Commission (EEPC),REC_000223,Equal Employment Practices Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fair recovery task force,,,,,,REC_000231,Fair Recovery Task Force,ops
Family Court of the State of New York - City of New York,Family Court of the State of New York - City of New York,Active,Judiciary,,https://ww2.nycourts.gov/COURTS/nyc/family/index.shtml,,,New York State,,,,,,,,,,,,,1962.0,,family-court-of-the-state-of-new-york-city-of-new-york,2024-07-29,,,,,,,,,Family Court of the State of New York - City of New York,,Family Court of the State of New York - City of New York,Family Court of the State of New York - City of New York,,,family court of the state of new york - city of new york,REC_000081,,,,,REC_000098,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fashion institute technology board trustees,,,,,,REC_000227,Fashion Institute of Technology Board of Trustees,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdny department pension fund,,,,,,REC_000226,FDNY Department Pension Fund,ops
"Office of Film, Theater & Broadcasting","Film, Theater & Broadcasting, Office of",Active,Division,,https://www.nyc.gov/site/mome/index.page,Mayor's Office of Media and Entertainment,Mayor's Office of Media and Entertainment,New York City Charter,"Executive Order 31, 2018",https://a860-gpp.nyc.gov/concern/nyc_government_publications/c821gp25p?locale=en,"The Mayor continues the duties of the Mayor's Office of Media and Entertainment, which consists of NYC Media, the Mayor's Office of Film, Theater, and Brodcasting, and the Mayor's Office of Nightlife.",,,FILM,,,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Film%2C+Theatre%2C+and+Broadcasting+%28FILM%29,,1966.0,,office-of-film-theater-broadcasting,2024-07-29,,,,,"Office of Film, Theatre, and Broadcasting (FILM)","Office of Film, Theater & Broadcasting",,"Office of Film, Theater & Broadcasting",,,"Office of Film, Theater & Broadcasting (FILM)","Film, Theater & Broadcasting, Office of (FILM)",,,"film office, theater & broadcasting",REC_000195,,,,,REC_000099,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film theatre broadcasting,,,,,,REC_000113,"Office of Film, Theatre, and Broadcasting",ops
Financial Information Services Agency,Financial Information Services Agency,Active,Mayoral Agency,,,Mayor's Office,Mayor's Office and Office of the Comptroller,New York City Charter,"Chapter 58, Section 1511",,There shall be a financial information services agency the head of which shall be the executive director of financial information services​​,,,,,,,,,,1982.0,,financial-information-services-agency,2024-07-29,,,,,,,,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,,,financial information services agency,REC_000082,,,,,REC_000114,Financial Information Services Agency,ops
