Name,Name - Preferred,NYC Administrative Organization Type,Agency Operational Status,Parent Organization,Authorizing Authority,Legal Citation,Legal Citation URL,Legal Citation Text,Additional Citation,Additional Citation URL
mayors office for people with disabilities,Mayor's Office for People with Disabilities,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 17, 1990",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6969z1010?locale=en,This Executive Order by the Mayor announces the Establishment of the Mayor's Office for People with Disabilities.,,
mayors office for the prevention of hate crimes,Mayor's Office for the Prevention of Hate Crimes,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 20-g",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5229,"The mayor shall establish an office for the prevention of hate crimes. Such office may be established within any office of the mayor or as a separate office or within any other office of the mayor or within any department the head of which is appointed by the mayor. Such office shall be headed by a coordinator who shall be appointed by the mayor or the head of such department. For the purposes of this section only, ""coordinator"" shall mean the coordinator of the office for the prevention of hate crimes.",,
mayors office nyc service,Mayor's Office NYC Service,Mayoral Office,Active,Office of Engagement,Mayoral Press Release,"December 13, 2022 Press Release",https://www.nyc.gov/office-of-the-mayor/news/903-22/mayor-adams-establishes-first-ever-office-engagement-streamlines-city-s-civic-engagement-efforts,"New York City Mayor Eric Adams today took efforts to streamline the city’s civic engagement efforts by establishing the city’s first-ever Office of Engagement and appointing Betsy MacLean as its chief engagement officer. The chief engagement officer will ensure that the city coordinates community engagement efforts across agencies, systematically learns from communities to inform policy and programs, builds the capacity of all city agency outreach and engagement teams, and advances community-driven solutions. In addition to leading the Office of Engagement, MacLean will oversee the city’s primary engagement offices: the Community Affairs Unit (CAU), the Civic Engagement Commission (CEC), the Public Engagement Unit (PEU), and NYC Service.",,
mayors office of administrative services,Mayor's Office of Administrative Services,Mayoral Office,Unable to locate,Mayor's Office,,,,,,
mayors office of appointments,Mayor's Office of Appointments,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 6, 2002",https://a860-gpp.nyc.gov/concern/nyc_government_publications/8w32r578c?locale=en,This Executive Order by the Mayor announces the establishment of the Mayor's Committee on Appointments.,,
mayors office of capital project development,Mayor's Office of Capital Project Development,Mayoral Office,Probably Defunct,Mayor's Office,,,https://ohny.org/activity/dan-doctoroff/,"Andrew Winters joined New York’s Olympic bid (NYC2012) in 1999 and became Director of Planning in 2004. Following the bid, Andrew was the founding Director of the Mayor’s Office of Capital Project Development, an office created by Deputy Mayor Dan Doctoroff to oversee complex, multi-agency projects, including the High Line, Brooklyn Bridge Park, BAM Cultural District, CitiField and Yankee Stadium and others. In that role, Andrew oversaw the early planning work for the Shed",,
mayors office of communications,Mayor's Office of Communications,Mayoral Office,Duplicate,Mayor's Office,,,,,,
mayors office of community mental health,Mayor's Office of Community Mental Health,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 20-m",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5954,"Office of community mental health. The mayor shall establish an office of community mental health. Such office may be established within the executive office of the mayor or as a separate office or within any other agency or office headed by a mayoral appointee as the mayor may determine. Such office shall be headed by a director, who shall be appointed by the mayor or by the head of such other agency or office.",,
mayors office of contract services,Mayor's Office of Contract Services,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 121, 2008",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6108vb52h?locale=en,This Executive Order by the Mayor of New York City announces the continuation of the Office of Contract Services.,,
mayors office of correspondence,Mayor's Office of Correspondence,Mayoral Office,Probably Defunct,Mayor's Office,,,,,,
mayors office of efficiency,Mayor's Office of Efficiency,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 13, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6d570023t?locale=en,"Executive Order No. 13 dated April 6, 2022 Chief Efficiency Officer and Reporting of Efficiency Metrics relates to improving effectiveness, productivity and efficiency in government operations provided in the Mayor's Management Report (MMR).",,
mayors office of engagement,Mayor's Office of Engagement,Mayoral Office,Active,Mayor's Office,Mayoral Press Release,"December 13, 2022 Press Release",https://www.nyc.gov/office-of-the-mayor/news/903-22/mayor-adams-establishes-first-ever-office-engagement-streamlines-city-s-civic-engagement-efforts,"New York City Mayor Eric Adams today took efforts to streamline the city’s civic engagement efforts by establishing the city’s first-ever Office of Engagement and appointing Betsy MacLean as its chief engagement officer. The chief engagement officer will ensure that the city coordinates community engagement efforts across agencies, systematically learns from communities to inform policy and programs, builds the capacity of all city agency outreach and engagement teams, and advances community-driven solutions. In addition to leading the Office of Engagement, MacLean will oversee the city’s primary engagement offices: the Community Affairs Unit (CAU), the Civic Engagement Commission (CEC), the Public Engagement Unit (PEU), and NYC Service.",,
mayors office of equity,Mayor's Office of Equity,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 78, Section 3401",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6483,"There shall be established within the executive office of the mayor an office of racial equity, the head of which shall be the city's chief equity officer.",,
mayors office of ethnic and community media,Mayor's Office of Ethnic and Community Media,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 77, Section 3300",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5897,"There shall be an office of ethnic and community media. Such office may, but need not, be established in the executive office of the mayor and may be established as a separate office, within any other office of the mayor or within any department, the head of which is appointed by the mayor. Such office shall be headed by an executive director of ethnic and community media who shall be appointed by the mayor or, if the office is established within a department, designated by the head of such department.",,
mayors office of faithbased and community partnerships,Mayor's Office of Faith-Based and Community Partnerships,Division,Active,Community Affairs Unit,New York City Charter,"Executive Order 7, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/cc08hh83p?locale=en,Executive Order No. 7 establishes the Office of Faith-Based and Community Partnerships within the Community Affairs Unit.,,
mayors office of federal legislative affairs,Mayor's Office of Federal Legislative Affairs,Division,Active,Mayor's Office of Intergovernmental Affairs,New York City Charter,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
management budget office of,Office of Management and Budget,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 10, Section 225",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1129,"There shall be an office of management and budget in the executive office of the mayor, the head of which shall be director of management and budget who shall be appointed by the mayor. It shall be the duty of the director to perform all such duties in regard to the budget and related matters as the mayor may direct. The director of management and budget shall have the power, personally or through representatives, to survey each agency for the purpose of ascertaining its budgetary requirements. The director may require any agency, or any officer or employee, to furnish data and information and to answer inquiries pertinent to the exercise of any of the director's duties in regard to the budget and related matters.",,
actuary office of,Office of the Actuary,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 5, Section 96",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-581,"The comptroller, with the approval of the audit committee, biennially shall select an independent actuary to review and comment upon the financial soundness and probity of the actuarial assumptions employed by the city to calculate contributions to the city pension funds. The report of the actuary shall be published in the City Record. No actuary may be selected more than twice consecutively.",,
mayors office of intergovernmental affairs,Mayor's Office of Intergovernmental Affairs,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
mayors office of municipal services assessment,Mayor's Office of Municipal Services Assessment,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 24, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/9p290d44p?locale=en,Executive Order No. 24 Mayor's Office of Risk Management and Compliance and Mayor's Office of Municipal Services Assessment,,
mayors office of nonprofits,Mayor's Office of Nonprofits,Mayoral Office,Unable to find citation,,,,,,,
mayors office of pensions investments,Mayor's Office of Pensions & Investments,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 18, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/np193c94f?locale=en,"Executive Order No. 18 dated May 16, 2022 as it relates to Chief Pension Administrator, whereas the Comptroller, through the Bureau of Asset Management is the investment advisor to, and custodian of, the five System funds.",,
mayors office of risk management and compliance,Mayor's Office of Risk Management and Compliance,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 24, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/9p290d44p?locale=en,"Executive Order No. 24, dated January 27, 2023 is being submitted for the effectiveness and integrity of city government operations where there shall be a Mayor's Office of Risk Management and Compliance and there shall be a Mayor's Office of Municipal Services Assessment effective immediately.",,
mayors office of special projects community events,Mayor's Office of Special Projects and Community Events,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 36, 1997",https://a860-gpp.nyc.gov/concern/nyc_government_publications/5425k999s?locale=en,This Executive Order by the Mayor announces the establishment of The Office of Special Projects and Events.,,
mayors office of strategic partnerships,Mayor's Office of Strategic Partnerships,Mayoral Office,Active,Mayor's Office,Press Release,"February 6, 2014 Press Release",https://www.nyc.gov/office-of-the-mayor/news/736-14/mayor-de-blasio-appoints-first-lady-chirlane-mccray-chair-the-mayor-s-fund-advance-new#/0,"About the Office of Strategic Partnerships: The Office will oversee and direct public-private partnerships for the administration with oversight of The Mayors Fund, The Fund for Public Schools and the Fund for Public Health, among other 501c3's associated with city agencies. The Office will coordinate the mission and strategy of the Funds, leverage assets and administer private funds to the agencies where applicable. The Office will coordinate inter-agency efforts as they relate to raising private funds to further the strategic initiatives established by the Office to help the people of New York.",,
mayors office of urban agriculture,Mayor's Office of Urban Agriculture,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 20-a",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5698,The mayor shall establish an office of urban agriculture within the office of long-term planning and sustainability. Such office shall be headed by a director who shall be appointed by the mayor and shall additionally employ at least one staff member.,,
mayors office of youth employment,Mayor's Office of Youth Employment,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 70, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/8w32r887z?locale=en,"The Mayor establishes the Mayor's Office of Youth employment, which is committed to continuously improving the educational and career outcomes of the City's youth through strategic resource allocation, active collaboration, and consistent focus on equity and opportunity.",,
mayors office to protect tenants,Mayor's Office to Protect Tenants,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 39, 2019",https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hz636?locale=en,The Mayor establishes the Mayor's Office to Protect Tenants. The Mayor's Office to Protect Tenants shall coordinate the work of the City to protect the right of tenants in NYC.,,
mayors public engagement unit,Mayor's Public Engagement Unit,Mayoral Office,Active,Office of Engagement,Mayoral Executive Order,"Executive Order 69, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/41687k80k?locale=en,"EXECUTIVE ORDER No. 69 June 21, 2021 MAYOR’S OFFICE OF PUBLIC ENGAGEMENT WHEREAS, the public may not be aware of the City services available to them, which may lead to underutilization of public services; and WHEREAS, the City of New York is committed to proactively educating New Yorkers about the p",,
medical examiner office of chief institute of forensic sciences,Office of the Chief Medical Examiner,Division,Active,Department of Health and Mental Hygiene,New York City Charter,"Chapter 22, Section 557",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6205,"There shall be in the department an independent office of chief medical examiner, the head of which shall be the chief medical examiner, who shall be appointed by the mayor from the classified civil service and be a doctor of medicine and a skilled pathologist and microscopist. The mayor may remove the chief medical examiner upon filing in the office of the commissioner of citywide administrative services and serving upon the chief medical examiner his or her reasons therefor and allowing such officer an opportunity of making a public explanation.",,
miscellaneous,Miscellaneous,Not Applicable,Delete,,,,,,,
municipal credit union,Municipal Credit Union,Financial Institution,Active,,New York State,,,,,
municipal water finance authority,NYC Municipal Water Finance Authority,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
new business acceleration team,New Business Acceleration Team,Mayoral Office,Probably Defunct,,,,https://www.nyc.gov/office-of-the-mayor/news/003-12/mayor-bloomberg-speaker-quinn-more-500-restaurants-have-gone-the-city-s-new#/5,,,
new york city water board,New York City Water Board,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
new york research libraries,New York Research Libraries,Non-Governmental Organization,Active,,New York State Law,,,,,
nyc 311,NYC 311,Division,Active,Office of Technology and Innovation,?,,,,,
nyc care,NYC Care,Division,Active,NYC Health + Hospital,?,,,,,
nyc childrens cabinet,NYC Children's Cabinet,Mayoral Office,Active,Mayor's Office,Press Release,"January 28, 2016 Press Release",https://a860-gpp.nyc.gov/concern/nyc_government_publications/h702q854v?locale=en,"The de Blasio administration today announced the appointment of members to the newly created NYC Children’s Cabinet Advisory Board. The Board will allow City agencies that comprise the Cabinet to leverage the expertise, relationships and resources of non-government experts. Members of the Board include appointees from all five boroughs in academia, faith, media, business, technology, the non-profit sector and the judiciary.",,
nyc commission on racial equity,Commission on Racial Equity,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 78, Section 3403",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6480,"There shall be established a commission on racial equity, the purpose of which is to enable community members with equity expertise or lived experience relevant to the goal of equity to propose priorities for racial equity in city decision-making and policy and assess performance towards those priorities. b.   Membership of the commission; appointments; executive director; staff. The commission shall consist of 15 members, including the chair, appointed as follows: seven members of the commission shall be appointed by the mayor; five members of the commission, each of whom shall be a resident of a different borough, shall be appointed by the speaker of the city council; one member of the commission shall be appointed by the public advocate; and one member of the commission shall be appointed by the comptroller. The chair of the commission, who shall be jointly appointed by the mayor and speaker, shall also serve as executive director. The chair shall have charge of the organization of the commission's office and have authority to employ, assign and superintend the duties of such officers and employees as may be necessary to carry out the provisions of this section. The chair shall devote their full time to the position and shall be entitled to compensation for the position.",,
nyc company,NYC & Company,Non-Governmental Organization,Duplicate,,,,,,,
nyc cyber command,NYC Cyber Command,Division,Active,Office of Technology and Innovation,New York City Charter,"Chapter 1, Section 20-j",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5726,The mayor shall establish an office of cyber command. Such office may be established in the executive office of the mayor or as a separate office or within any department the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or the head of such department and who shall serve as the chief information security officer of the city.,,
nyc fire pension fund,NYC Fire Pension Fund,,Duplicate,,,,,,,
nyc housing authority,NYC Housing Authority,Authority or Public Benefit Corporation,Active,,New York State Law,"Article 5, Section 63",https://www.nysenate.gov/legislation/laws/MHA/63,"Establishment and organizations of authorities. 1. An authority may be established by a county, city or first class village upon (i) the passage of a resolution by the local legislative body, authorizing the establishment of a housing authority and directing the mayor of the city or village, and in the case of counties, directing the county executive to file a certificate therefor; (ii) the filing by the mayor or county executive in the office of the board, and a duplicate in the office of the secretary of state, of a certificate signed by him and setting forth (a) the name of the authority; (b) the names of the members and their terms, specifying which member is chairman; and (c) a copy of the aforesaid resolution.",,
nyc media,NYC Media,Mayoral Office,Active,Mayor's Office of Media and Entertainment,Mayoral Executive Order,"Executive Order 21, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/w9505341r?locale=en,"Executive Order No 21, dated July 21, 2022 is final and revokes EO No. 31, dated March 7, 2018 effective immediately, if this relates to the Mayor's Office of Media and Entertainment, development of all forms of media and entertainment are vital to the economic success and cultural identity of NYC.",,
office of the city clerk,Office of the City Clerk,Division,Active,City Council,New York City Charter,"Chapter 48, Section 48",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-428,"The council shall appoint a clerk, who shall perform such duties as may be prescribed by law. The clerk so appointed shall be the city clerk and the clerk of the council, and shall hold office for six years and until such clerk's successor shall be appointed and has qualified. The city clerk shall have charge of all the papers and documents of the city, except such as are by law committed to the keeping of the several departments or of other officers. The city clerk shall keep the record of the proceedings of the council and shall also keep a separate record of all the local laws of the city in a book to be provided for that purpose, with proper indices, which book shall be deemed a public record of such local laws, and each local law shall be attested by said clerk. Copies of all papers duly filed in the office of the city clerk, and transcripts thereof and of the records of proceedings of the council and copies of the laws, ordinances and local laws of the city, certified by the city clerk under the corporate seal of the city, shall be admissible in evidence in all courts and places in the same manner and for the same purposes as papers or documents similarly authenticated by the clerk of a county. The city clerk may be removed on charges by a two-third vote of all the council members, subject, however, to judicial review. The city clerk shall collect such fees as shall be fixed by law.",,
nyc technology development corporation,NYC Technology Development Corporation,Non-Governmental Organization,Probably Defunct,,,,,,,
nyc tourism conventions,NYC Tourism + Conventions,Non-Governmental Organization,Active,,New York State Law,,,,,
office of administrative justice coordinator,Office of Administrative Justice Coordinator,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 84, 2006",https://a860-gpp.nyc.gov/concern/nyc_government_publications/cr56n122r?locale=en,This Executive Order by the Mayor announces the establishment of the position of Coordinator of Administrative Justice.,,
office of animal welfare,Office of Animal Welfare,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 23, Section 581",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2139,"The mayor shall establish an office of animal welfare. Such office may, but need not, be established in the executive office of the mayor and may be established as a separate office, within any other office of the mayor or within any department, the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or the head of such department. For the purposes of this section, ""director"" means the director of the office of animal welfare. The director may appoint deputies and staff within available appropriations.",,
office of civic engagement,Office of Civic Engagement,Mayoral Office,Active,Office of Engagement,New York City Charter,"Chapter 76, Section 3200",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5084,"There shall be a civic engagement commission, the purpose of which is to enhance civic participation in order to enhance civic trust and strengthen democracy in New York city, including through the commission's own initiatives and partnership with public and private entities related to civic service, volunteerism, stewardship of public spaces, civic education, participatory budgeting, participation in community boards, civic organizations and community groups, and other related activities, and to support and encourage New Yorkers to meaningfully participate in civic life.",,
office of data analytics,Office of Data Analytics,Division,Active,Office of Technology and Innovation,New York City Charter,"Chapter 1, Section 20-f",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5025,"The mayor shall establish an office of data analytics. Such office may be established in the executive office of the mayor and may be established as a separate office or within any other office of the mayor or within any department the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or head of such department and who shall serve as the city's chief analytics officer and chief open platform officer, as defined in the open data policy and technical standards manual.",,
office of film theatre and broadcasting,"Office of Film, Theater & Broadcasting",Division,Active,Mayor's Office of Media and Entertainment,New York City Charter,"Executive Order 31, 2018",https://a860-gpp.nyc.gov/concern/nyc_government_publications/c821gp25p?locale=en,"The Mayor continues the duties of the Mayor's Office of Media and Entertainment, which consists of NYC Media, the Mayor's Office of Film, Theater, and Brodcasting, and the Mayor's Office of Nightlife.",,
office of information policy,Mayor's Office of Food Policy,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 20-i",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5512,The mayor shall establish an office of food policy. Such office may be established within the office of the mayor or any department or office the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or by the head of such department or office.,,
office of innovation and delivery,Office of Innovation and Delivery,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,,https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hx70d?locale=en,"The Deputy Mayor for Strategic Initiatives shall: Report directly to the First Deputy Mayor; Advise and assist the Mayor regarding all policies, planning and programs related to the Mayor’s signature initiatives requiring major interagency collaboration. Supervise and coordinate the Office of Innovation and Delivery (consisting of the City University of New York, the Department of Youth and Community Development, the Office for Economic Opportunity, the Office of Food Policy, the Center for Innovation through Data Intelligence, the Office of Youth Employment, and the Children’s Cabinet), the Office of Civic Engagement (consisting of the Public Engagement Unit, NYC Service, and the Civic Engagement Commission), the Office of Equity (consisting of the Young Men’s Initiative, the Commission on Gender Equity, the Unity Project, the Pay Equity Cabinet, and the Racial Justice Commission), and the Office of Strategic Partnerships (which includes the Mayor’s Fund and City Affiliated Non-Profits).",,
office of media and entertainment,Mayor's Office of Media and Entertainment,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 31, 2018",https://a860-gpp.nyc.gov/concern/nyc_government_publications/c821gp25p?locale=en,"The Mayor continues the duties of the Mayor's Office of Media and Entertainment, which consists of NYC Media, the Mayor's Office of Film, Theater, and Brodcasting, and the Mayor's Office of Nightlife.",,
office of minority and womenowned business enterprises,Mayor's Office of Minority & Women Owned Business Enterprises,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 20-h",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4670,The mayor shall establish an office of minority and women-owned business enterprises within any office of the mayor. The head of such office shall be either the director or an individual who shall report directly to the director.,,
office of nightlife,Office of Nightlife,Mayoral Office,Active,Mayor's Office of Media and Entertainment,New York City Charter,"Chapter 1, Section 20-d",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5711,"The mayor shall establish an office of nightlife. Such office may be established within any office of the mayor or as a separate office or within any agency that does not conduct enforcement against nightlife establishments, provided that such office may also be established within the department of small business services. Such office shall be headed by a director who shall be appointed by the mayor or by the head of such office or agency.",,
office of policy and planning,Mayor's Office of Policy and Planning,Mayoral Office,Active,First Deputy Mayor,Mayoral Executive Order,"Executive Order 5, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hx70d?locale=en,"Establishes the titles, duties, and responsibilities of the six Deputy Mayors, the Chief of Staff to the Mayor, and the Chief Counsel to the mayor and City Hall. Revokes Executive Order No. 56, dated March 21, 2021.",,
office of recovery resiliency,Office of Recovery & Resiliency,Mayoral Office,Active,Mayor's Office of Climate and Environmental Justice,Mayoral Executive Order,"Executive Order 4, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/st74cs877?locale=en,"The Office of Long-Term Planning and Sustainability shall be established within the Office of the Mayor and hereafter be designated as the Office of Climate and Environmental Justice, except in court documents, contracts and any other situation where the name “Office of Long-Term Planning and Sustainability” is legally required. Such office shall perform the functions delineated in section 20 of the Charter as well as those functions that have been performed by the former Office of Climate and Sustainability and the Office of Climate Resiliency.",,
office of sports wellness and recreation,"Mayor's Office of Sports, Wellness, and Recreation",Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 20-l",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5776,"The mayor shall establish an office of sports, wellness and recreation. Such office shall be established as a separate office and not within another agency or office. Such office shall be headed by a director of sports, wellness and recreation, who shall be appointed by the mayor.",,
office of technology and innovation,Office of Technology and Innovation,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 3, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/3b591c25v?locale=en,"Establishes the Office of Technology and Innovation, headed by the Commissioner/Chief Technology Officer.",,
office of the chief advisor to the mayor,Chief Advisor to the Mayor,Mayoral Office,Active,Mayor's Office,Press Release,"January 10, 2022 Press Release",https://a860-gpp.nyc.gov/concern/nyc_government_publications/8k71nm387?locale=en,Mayor Eric Adams announces former deputy Brooklyn borough president Chaplain Ingrid Lewis-Martin as the new Chief Advisor to the Mayor.,,
office of the chief counsel to the mayor and city hall,Office of the Chief Counsel to the Mayor and City Hall,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 5, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hx70d?locale=en,"Establishes the titles, duties, and responsibilities of the six Deputy Mayors, the Chief of Staff to the Mayor, and the Chief Counsel to the mayor and City Hall. Revokes Executive Order No. 56, dated March 21, 2021.",,
office of the deputy mayor for communications,Office of the Deputy Mayor for Communications,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 5, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hx70d?locale=en,"Establishes the titles, duties, and responsibilities of the six Deputy Mayors, the Chief of Staff to the Mayor, and the Chief Counsel to the mayor and City Hall. Revokes Executive Order No. 56, dated March 21, 2021.",,
office of the deputy mayor for operations,Deputy Mayor for Operations,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 5, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/gm80hx70d?locale=en,"Establishes the titles, duties, and responsibilities of the six Deputy Mayors, the Chief of Staff to the Mayor, and the Chief Counsel to the mayor and City Hall. Revokes Executive Order No. 56, dated March 21, 2021.",,
office of the executive director of talent and workforce development,Office of the Executive Director of Talent and Workforce Development,,Duplicate,,,,,,,
office of the inspector general for the nypd,Office of the Inspector General for the NYPD,Division,Active,Department of Investigation,New York City Charter,"Chapter 34, Section 803",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2404,"The commissioner shall, on an ongoing basis, investigate, review, study, audit and make recommendations relating to the operations, policies, programs and practices, including ongoing partnerships with other law enforcement agencies, of the New York city police department with the goal of enhancing the effectiveness of the department, increasing public safety, protecting civil liberties and civil rights, and increasing the public's confidence in the police force, thus building stronger police-community relations.",,
office of the senior advisor and director of public service engagement,Office of the Senior Advisor and Director of Public Service Engagement,Mayoral Office,Unable to find citation,,,,,,,
office of the senior advisor for external affairs,Office of the Senior Advisor for External Affairs,Mayoral Office,Unable to find citation,,,,,,,
office of workforce development,Office of Workforce Development,Mayoral Office,Duplicate,,Mayoral Executive Order,"Executive Order 22, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/sx61dq02c?locale=en,"Executive Order No. 22, dated August 15, 2022, relates to The Office of Talent and Workforce Developments' new mission and structure to take effect immediately.",,
office to prevent gun violence,Office to Prevent Gun Violence,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Chapter 1, Section 13-f",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5804,"The mayor shall establish an office for neighborhood safety and the prevention of gun violence. Such office may, but need not, be established in the executive office of the mayor and may be established as a separate office within any other office of the mayor. Such office shall be headed by a director who shall be appointed by the mayor. For the purposes of this section, the term ""director"" means the director of the office for neighborhood safety and the prevention of gun violence.",,
comptroller,Office of the Comptroller,Elected Office,Active,,New York City Charter,"Chapter 5, Section 91",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-533,The comptroller shall be elected by the electors of the city at the same time and for the same terms as in this charter prescribed for the mayor. A comptroller who resigns or is removed from office prior to completion of a full term shall be deemed to have served a full term for purposes of section 1138 of the charter. The salary of the comptroller shall be two hundred nine thousand fifty dollars a year.,,
pension contributions,Pension Contributions,Not Applicable,Delete,,,,,,,
special narcotics prosecutor nyc office of the,Office of the Special Narcotics Prosecutor,Judiciary,Active,,New York State,,,,,
police pension fund,NYC Police Pension Fund,Fiduciary Fund,Active,,New York State,,,,,
press office,Press Office,,Unable to find citation,,,,,,,
property tax reform advisory commission on,"Property Tax Reform, Advisory Commission on","Advisory, Oversight, or Regulatory Body",Active,,Mayoral Executive Order,"Executive Order 37, 2018",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6969z449s?locale=en,The Mayor establishes the Advisory Commission on Property Tax Reform. The Commission shall evaluate New York City's current Real Property Tax System.,,
queens public library,Queens Public Library,Non-Governmental Organization,Active,,New York State Law,,,,,
